TL,Territory Level and Typology,REG_ID,Region,VAR,Variable,VINTAGE,Vintage,DWELLINGS,Dwellings,MEASURE,Measure,FREQ,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
1,Country,AUS,Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2020,2020,IDX,Index,0,Units,2015_100,2015=100,113.917,,
1,Country,AUS,Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,133.764,,
2,Large regions,AU1,New South Wales,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,136.399,,
2,Large regions,AU2,Victoria,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,143.546,,
2,Large regions,AU3,Queensland,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,128.936,,
2,Large regions,AU4,South Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,130.931,,
2,Large regions,AU5,Western Australia,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,102.379,,
2,Large regions,AU6,Tasmania,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,179.414,,
2,Large regions,AU7,Northern Territory,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,87.531,,
2,Large regions,AU8,"Australian Capital Territory, Canberra (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2020,2020,IDX,Index,0,Units,2015_100,2015=100,121.545,,
2,Large regions,AU8,"Australian Capital Territory, Canberra (AUS)",RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2021,2021,IDX,Index,0,Units,2015_100,2015=100,147.208,,
4,Cities,AUS01M,Sydney (agglomeration) - New South Wales,RHPI,House Price Index,VINTAGE_TOTAL,Total,DWELLINGS_TOTAL,Total,IXOB,Index publication base,A,Annual,2020,2020,IDX,Index,0,Units,2015_100,2015=100,113.812,,
