Year,France,Germany,Japan,Great britain,USA
01/10/2021,112.8366748,68.62297494,245.2088021,108.7606504,117.900515
01/07/2021,115.4039827,68.55671441,244.6972143,108.6287544,117.5652953
01/04/2021,114.1913547,68.67749752,245.2808546,108.9858467,120.0495816
01/01/2021,117.680285,68.97666554,246.4611781,109.8816234,123.9365014
01/10/2020,114.9615381,67.98601058,247.1678337,108.7790489,123.0125129
01/07/2020,115.1208067,68.52361581,244.7019973,98.95768285,119.4750878
01/04/2020,112.8453677,66.05199965,238.5061505,94.73568884,116.3932573
01/01/2020,100.610511,59.95316159,226.3623613,83.06570719,101.3790654
01/10/2019,97.42801402,58.92556273,226.4213653,83.85036379,99.89982961
01/07/2019,99.36171611,60.3534318,226.6374312,82.59798906,98.89701351
01/04/2019,98.55130644,60.49624941,227.8647116,83.43923726,97.29946609
01/01/2019,98.75689204,61.12261346,225.8480981,82.93030384,98.74681004
01/10/2018,97.78150269,61.316347,222.5206038,84.48964762,98.69332137
01/07/2018,98.78403844,62.12229097,219.0911076,84.02724734,97.70179401
01/04/2018,98.61335518,62.44449792,221.0230711,84.23941561,97.47864404
01/01/2018,98.65379985,63.49315277,221.0852587,83.39055364,98.76590916
01/10/2017,98.13196193,64.63567747,221.6403079,85.14602962,97.63694593
01/07/2017,99.7844436,65.90116801,221.8612458,83.90370695,97.0375553
01/04/2017,100.7834908,66.78670985,222.880165,84.19762042,96.49619474
01/01/2017,100.2621477,67.4206388,222.6559215,84.26621283,97.56394163
01/10/2016,97.95677448,68.95532006,223.2280167,85.83186472,98.63699623
01/07/2016,98.84030895,70.15769536,226.2985962,84.9293282,97.68751987
01/04/2016,99.45026366,70.89934672,228.7633175,85.78377215,97.07605047
01/01/2016,98.5043668,71.64837217,223.4694427,84.58783052,97.59431782
01/10/2015,95.57963927,71.94651343,218.5534586,86.02178986,96.84607688
01/07/2015,96.39918861,72.62567931,220.7472038,85.37475179,94.55245257
01/04/2015,96.99307895,73.16952391,223.3779431,85.91877129,94.67969886
01/01/2015,96.7907026,74.96027735,224.4415175,84.7275811,95.59593536
01/10/2014,94.88865741,75.27910146,223.4522931,85.45733258,96.30192845
01/07/2014,95.47221073,75.94958169,222.5255145,83.8848715,95.70121339
01/04/2014,95.59902171,76.58003847,223.2149092,84.49748177,95.58129004
01/01/2014,94.99086315,77.01833299,220.4492148,83.72412047,96.93323193
01/10/2013,93.41317377,78.32244295,220.3677763,83.5544055,96.22840604
01/07/2013,92.93712213,78.32489764,220.1411495,82.89897942,94.77066177
01/04/2013,93.85789224,79.63241612,220.1772157,83.19929348,94.70378425
01/01/2013,92.22783502,80.27371997,219.4672101,82.02331637,96.07521105
01/10/2012,90.6039968,80.74516175,216.5272257,82.6982813,94.8324874
01/07/2012,90.2515632,80.80979016,215.0023575,81.41144141,93.55454978
01/04/2012,91.57149935,81.32940637,212.8778898,80.36677339,93.11462753
01/01/2012,90.14341857,79.98842635,208.9679518,80.42477895,92.74375808
01/10/2011,87.83449256,79.41716539,209.4658969,79.52601633,91.35130014
01/07/2011,87.24531859,79.93173946,208.3822838,78.27714293,89.64460878
01/04/2011,88.04900562,80.27222378,204.3130713,77.37703362,87.72905292
01/01/2011,86.55400667,80.82368556,197.2479367,74.28990138,87.89451185
01/10/2010,85.25686713,81.99469662,196.438811,73.98875446,87.15201107
01/07/2010,85.39510896,74.10141126,195.8914765,73.46323103,84.96745656
01/04/2010,87.30496551,74.03331679,196.3983256,70.51520457,83.22312051
