0,London Postcode,Areas covered,Avg property price,5% deposit,Clean 1 ,Average Property Price
1,EC1,"Barbican, Clerkenwell, Finsbury","£744,055","£37,202.75","744,055",744055
2,EC2,"Moorgate, Liverpool Street","£925,413","£46,270.65","925,413",925413
3,EC3,"Aldgate, Monument, Tower Hill","£957,179","£47,858.95","957,179",957179
4,EC4,"Fleet Street, St Paul’s","£621,141","£31,057.05","621,141",621141
5,WC1,"Bloomsbury, Gray's Inn","£867,634","£43,381.70","867,634",867634
6,WC2,"Covent Garden, Holborn, Strand","£1,667,871","£83,393.55","1,667,871",1667871
1,E1,"Mile End, Stepney, Whitechapel","£518,931","£25,946.55","518,931",518931
2,E2,"Bethnal Green, Shoreditch","£511,527","£25,576.35","511,527",511527
3,E3,"Bow, Bromley-by-Bow","£458,971","£22,948.55","458,971",458971
4,E4,"Chingford, Highams Park","£447,763","£22,388.15","447,763",447763
5,E5,Clapton,"£589,863","£29,493.15","589,863",589863
6,E6,"East Ham, Beckton","£350,124","£17,506.20","350,124",350124
7,E7,"Forest Gate, Upton Park","£426,400","£21,320.00","426,400",426400
8,E8,"Hackney, Dalston","£602,990","£30,149.50","602,990",602990
9,E9,"Hackney, Homerton","£541,092","£27,054.60","541,092",541092
10,E10,Leyton,"£444,525","£22,226.25","444,525",444525
11,E11,Leytonstone,"£509,895","£25,494.75","509,895",509895
12,E12,Manor Park,"£415,993","£20,799.65","415,993",415993
13,E13,Plaistow,"£382,300","£19,115.00","382,300",382300
14,E14,"Isle of Dogs, Millwall, Poplar","£545,606","£27,280.30","545,606",545606
15,E15,"Stratford, West Ham","£411,224","£20,561.20","411,224",411224
16,E16,"Canning Town, North Woolwich","£447,381","£22,369.05","447,381",447381
17,E17,Walthamstow,"£490,380","£24,519.00","490,380",490380
18,E18,South Woodford,"£491,651","£24,582.55","491,651",491651
1,N1,"Barnsbury, Canonbury, Islington","£766,791","£38,339.55","766,791",766791
2,N2,East Finchley,"£819,933","£40,996.65","819,933",819933
3,N3,Finchley Central,"£621,632","£31,081.60","621,632",621632
4,N4,"Finsbury Park, Manor House","£566,875","£28,343.75","566,875",566875
5,N5,Highbury,"£787,482","£39,374.10","787,482",787482
6,N6,Highgate,"£977,235","£48,861.75","977,235",977235
7,N7,Holloway,"£558,457","£27,922.85","558,457",558457
8,N8,"Crouch End, Hornsey","£659,062","£32,953.10","659,062",659062
9,N9,Lower Edmonton,"£324,420","£16,221.00","324,420",324420
10,N10,Muswell Hill,"£750,770","£37,538.50","750,770",750770
11,N11,"Friern Barnet, New Southgate","£504,343","£25,217.15","504,343",504343
12,N12,"North Finchley, Woodside Park","£551,198","£27,559.90","551,198",551198
13,N13,Palmers Green,"£493,295","£24,664.75","493,295",493295
14,N14,Southgate,"£611,052","£30,552.60","611,052",611052
15,N15,Seven Sisters,"£530,245","£26,512.25","530,245",530245
16,N16,"Stamford Hill, Stoke Newington","£631,021","£31,551.05","631,021",631021
17,N17,Tottenham,"£402,025","£20,101.25","402,025",402025
18,N18,Upper Edmonton,"£325,352","£16,267.60","325,352",325352
19,N19,"Archway, Tufnell Park","£626,049","£31,302.45","626,049",626049
20,N20,"Totteridge, Whetstone","£737,981","£36,899.05","737,981",737981
21,N21,Winchmore Hill,"£594,879","£29,743.95","594,879",594879
22,N22,"Alexandra Palace, Wood Green","£526,045","£26,302.25","526,045",526045
1,SE1,"Bermondsey, Borough, Southwark, Waterloo","£750,768","£37,538.40","750,768",750768
2,SE2,Abbey Wood,"£330,345","£16,517.25","330,345",330345
3,SE3,"Blackheath, Westcombe Park","£563,256","£28,162.80","563,256",563256
4,SE4,"Brockley, Crofton Park, Honor Oak Park","£566,114","£28,305.70","566,114",566114
5,SE5,Camberwell,"£521,004","£26,050.20","521,004",521004
6,SE6,"Bellingham, Catford, Hither Green","£423,337","£21,166.85","423,337",423337
7,SE7,Charlton,"£446,860","£22,343.00","446,860",446860
8,SE8,Deptford,"£439,805","£21,990.25","439,805",439805
9,SE9,"Eltham, Mottingham","£412,717","£20,635.85","412,717",412717
10,SE10,Greenwich,"£550,509","£27,525.45","550,509",550509
11,SE11,Lambeth,"£523,082","£26,154.10","523,082",523082
12,SE12,Grove Park,"£429,390","£21,469.50","429,390",429390
13,SE13,"Hither Green, Lewisham","£460,188","£23,009.40","460,188",460188
14,SE14,"New Cross, New Cross Gate","£472,129","£23,606.45","472,129",472129
15,SE15,"Nunhead, Peckham","£553,449","£27,672.45","553,449",553449
16,SE16,"Rotherhithe, South Bermondsey, Surrey Docks","£477,043","£23,852.15","477,043",477043
17,SE17,"Elephant & Castle, Walworth","£523,044","£26,152.20","523,044",523044
18,SE18,"Plumstead, Woolwich","£351,089","£17,554.45","351,089",351089
19,SE19,"Crystal Palace, Upper Norwood","£456,255","£22,812.75","456,255",456255
20,SE20,"Anerley, Penge","£380,445","£19,022.25","380,445",380445
21,SE21,Dulwich,"£712,663","£35,633.15","712,663",712663
22,SE22,East Dulwich,"£705,698","£35,284.90","705,698",705698
23,SE23,Forest Hill,"£521,931","£26,096.55","521,931",521931
24,SE24,Herne Hill,"£749,974","£37,498.70","749,974",749974
25,SE25,South Norwood,"£348,701","£17,435.05","348,701",348701
26,SE26,Sydenham,"£468,563","£23,428.15","468,563",468563
27,SE27,"Tulse Hill, West Norwood","£542,586","£27,129.30","542,586",542586
28,SE28,Thamesmead,"£275,194","£13,759.70","275,194",275194
1,SW1,"Belgravia, Pimlico, Westminster","£1,295,609","£64,780.45","1,295,609",1295609
2,SW2,"Brixton, Streatham Hill","£569,866","£28,493.30","569,866",569866
3,SW3,"Brompton, Chelsea","£1,634,116","£81,705.80","1,634,116",1634116
4,SW4,Clapham,"£709,381","£35,469.05","709,381",709381
5,SW5,Earl’s Court,"£997,306","£49,865.30","997,306",997306
6,SW6,"Fulham, Parson’s Green","£947,286","£47,364.30","947,286",947286
7,SW7,South Kensington,"£1,528,409","£76,420.45","1,528,409",1528409
8,SW8,"Nine Elms, South Lambeth","£685,696","£34,284.80","685,696",685696
9,SW10,"Brixton, Stockwell","£843,329","£42,166.45","843,329",843329
10,SW11,West Brompton,"£699,787","£34,989.35","699,787",699787
11,SW12,Battersea,"£818,569","£40,928.45","818,569",818569
12,SW13,Balham,"£1,189,849","£59,492.45","1,189,849",1189849
13,SW14,Barnes,"£938,493","£46,924.65","938,493",938493
14,SW15,"East Sheen, Mortlake","£689,577","£34,478.85","689,577",689577
15,SW16,"Norbury, Streatham","£506,275","£25,313.75","506,275",506275
16,SW17,Tooting,"£634,246","£31,712.30","634,246",634246
17,SW18,"Earlsfield, Wandsworth","£710,063","£35,503.15","710,063",710063
18,SW19,"Merton, Wimbledon","£722,981","£36,149.05","722,981",722981
19,SW20,"Raynes Park, South Wimbledon","£710,239","£35,511.95","710,239",710239
1,NW1,"Camden Town, Regent’s Park","£764,196","£38,209.80","764,196",764196
2,NW2,"Cricklewood, Neasden","£571,267","£28,563.35","571,267",571267
3,NW3,"Hampstead, Swiss Cottage","£1,137,545","£56,877.25","1,137,545",1137545
4,NW4,"Brent Cross, Hendon","£543,686","£27,184.30","543,686",543686
5,NW5,Kentish Town,"£710,674","£35,533.70","710,674",710674
6,NW6,"Kilburn, Queens Park, West Hampstead","£753,525","£37,676.25","753,525",753525
7,NW7,Mill Hill,"£646,576","£32,328.80","646,576",646576
8,NW8,St John’s Wood,"£1,112,247","£55,612.35","1,112,247",1112247
9,NW9,"Colindale, Kingsbury","£415,487","£20,774.35","415,487",415487
10,NW10,"Harlesden, Kensal Green, Willesden","£620,483","£31,024.15","620,483",620483
11,NW11,"Golders Green, Hampstead Garden Suburb","£817,279","£40,863.95","817,279",817279
1,W1,"Marylebone, Mayfair, Soho","£1,820,143","£91,007.15","1,820,143",1820143
2,W2,"Bayswater, Paddington","£1,000,126","£50,006.30","1,000,126",1000126
3,W3,Acton,"£549,871","£27,493.55","549,871",549871
4,W4,Chiswick,"£862,285","£43,114.25","862,285",862285
5,W5,Ealing,"£679,155","£33,957.75","679,155",679155
6,W6,Hammersmith,"£828,790","£41,439.50","828,790",828790
7,W7,Hanwell,"£538,358","£26,917.90","538,358",538358
8,W8,Kensington,"£1,949,475","£97,473.75","1,949,475",1949475
9,W9,"Maida Vale, Warwick Avenue","£800,133","£40,006.65","800,133",800133
10,W10,"Ladbroke Grove, North Kensington","£760,991","£38,049.55","760,991",760991
11,W11,"Holland Park, Notting Hill","£1,446,853","£72,342.65","1,446,853",1446853
12,W12,Shepherd’s Bush,"£678,661","£33,933.05","678,661",678661
13,W13,West Ealing,"£671,452","£33,572.60","671,452",671452
14,W14,West Kensington,"£842,460","£42,123.00","842,460",842460
1,EN,Enfield,"£418,361","£20,918.05","418,361",418361
2,HA,Harrow,"£460,408","£23,020.40","460,408",460408
