Date,GRA Purchases,PRGT 1/2/,Totals,date,World GDP wrong,world gdp,Adjusted Totals,Percentaged Adjusted Totals
08/31/2022,93769635059,15254184552,1.09E+11,2022,1.40E+13,9.61E+13,1.13E-03,1.13E-01
12/31/2021,89474552025,14554823681,1.04E+11,2021,1.22698E+13,8.49E+13,1.23E-03,1.23E-01
12/31/2020,93408630285,12481816684,1.06E+11,2020,1.28601E+13,8.77E+13,1.21E-03,1.21E-01
12/31/2019,66945509865,6590835450,73536345315,2019,1.52053E+13,8.64E+13,8.51E-04,8.51E-02
12/31/2018,55395611392,6426181029,61821792421,2018,1.73072E+13,8.14E+13,7.59E-04,7.59E-02
12/31/2017,39585385873,6522280669,46107666542,2017,1.9338E+13,7.65E+13,6.03E-04,6.03E-02
12/31/2016,49267630851,6482647937,55750278788,2016,2.0194E+13,7.52E+13,7.42E-04,7.42E-02
12/31/2015,50757840741,6575911158,57333751899,2015,2.278E+13,7.97E+13,7.19E-04,7.19E-02
12/31/2014,69041563463,6292755583,75334319046,2014,2.37596E+13,7.76E+13,9.71E-04,9.71E-02
12/31/2013,83899249061,6174392682,90073641743,2013,2.54061E+13,7.55E+13,1.19E-03,1.19E-01
12/31/2012,90042348252,5766292503,95808640755,2012,2.5822E+13,7.39E+13,1.30E-03,1.30E-01
12/31/2011,87276915790,5308609594,92585525384,2011,2.78723E+13,6.66E+13,1.39E-03,1.39E-01
12/31/2010,55620104510,4819344134,60439448644,2010,3.10436E+13,6.08E+13,9.94E-04,9.94E-02
12/31/2009,37221142436,5079705286,42300847722,2009,3.17367E+13,6.41E+13,6.60E-04,6.60E-02
12/31/2008,17514964723,3972372030,21487336753,2008,3.16204E+13,5.84E+13,3.68E-04,3.68E-02
12/31/2007,6036146757,3796945581,9833092338,2007,3.154E+13,5.18E+13,1.90E-04,1.90E-02
12/31/2006,9822640239,3844020520,13666660759,2006,3.27374E+13,4.78E+13,2.86E-04,2.86E-02
12/31/2005,28432143237,6282121668,34714264905,2005,3.38309E+13,4.41E+13,7.87E-04,7.87E-02
12/31/2004,55373766674,6766029353,62139796027,2004,3.36154E+13,3.91E+13,1.59E-03,1.59E-01
12/31/2003,65032062712,6880893268,71912955980,2003,3.49114E+13,3.49E+13,2.06E-03,2.06E-01
12/31/2002,63601058794,6868671012,70469729806,2002,3.9147E+13,3.36E+13,2.10E-03,2.10E-01
12/31/2001,53477225409,6424578684,59901804093,2001,4.41176E+13,3.38E+13,1.77E-03,1.77E-01
12/31/2000,42990531049,6331595468,49322126517,2000,4.77797E+13,3.27E+13,1.51E-03,1.51E-01
12/31/1999,51061861875,6434274362,57496136237,1999,5.17798E+13,3.15E+13,1.82E-03,1.82E-01
12/31/1998,60451017051,6288825925,66739842976,1998,5.8355E+13,3.16E+13,2.11E-03,2.11E-01
12/31/1997,46559033783,6009867422,52568901205,1997,6.41237E+13,3.17E+13,1.66E-03,1.66E-01
12/31/1996,36127472805,5881609752,42009082557,1996,6.08091E+13,3.10E+13,1.35E-03,1.35E-01
12/31/1995,35929173412,5657438528,41586611940,1995,6.65961E+13,2.79E+13,1.49E-03,1.49E-01
12/31/1994,25611676952,4599768498,30211445450,1994,7.38538E+13,2.58E+13,1.17E-03,1.17E-01
12/31/1993,25196745031,3942792899,29139537930,1993,7.54881E+13,2.54E+13,1.15E-03,1.15E-01
12/31/1992,23967172718,3804463796,27771636514,1992,7.76072E+13,2.38E+13,1.17E-03,1.17E-01
12/31/1991,23378573926,3285717796,26664291722,1991,7.97088E+13,2.28E+13,1.17E-03,1.17E-01
12/31/1990,20731851093,2571911617,23303762710,1990,7.51793E+13,2.02E+13,1.15E-03,1.15E-01
12/31/1989,22315104224,2334886562,24649990786,1989,7.64656E+13,1.93E+13,1.27E-03,1.27E-01
12/31/1988,24750004884,1773964293,26523969177,1988,8.1404E+13,1.73E+13,1.53E-03,1.53E-01
12/31/1987,28751979125,1866342930,30618322055,1987,8.6413E+13,1.52E+13,2.01E-03,2.01E-01
12/31/1986,33334905644,2013169931,35348075575,1986,8.76529E+13,1.29E+13,2.75E-03,2.75E-01
12/31/1985,35194787249,2470247948,37665035197,1985,8.49068E+13,1.23E+13,3.07E-03,3.07E-01
12/31/1984,34936772393,2769874900,37706647293,1984,9.61001E+13,1.40E+13,2.69E-03,2.69E-01
