Date,All property types,Detached houses,Semi-detached houses,Terraced houses,Flats and maisonettes
1995-01-01,"£74,436 ","£161,449 ","£95,898 ","£73,706 ","£64,619 "
1995-02-01,"£72,778 ","£157,449 ","£96,084 ","£73,757 ","£60,359 "
1995-03-01,"£73,897 ","£156,090 ","£94,981 ","£73,571 ","£64,186 "
1995-04-01,"£74,455 ","£156,932 ","£95,193 ","£73,990 ","£65,099 "
1995-05-01,"£75,432 ","£158,778 ","£96,727 ","£75,063 ","£65,718 "
1995-06-01,"£75,606 ","£158,322 ","£96,551 ","£74,684 ","£66,735 "
1995-07-01,"£75,984 ","£161,896 ","£97,609 ","£75,763 ","£65,790 "
1995-08-01,"£75,529 ","£160,991 ","£97,064 ","£75,103 ","£65,588 "
1995-09-01,"£74,941 ","£159,829 ","£96,135 ","£74,632 ","£65,035 "
1995-10-01,"£74,302 ","£160,268 ","£95,894 ","£73,292 ","£64,793 "
1995-11-01,"£74,118 ","£157,177 ","£95,155 ","£73,136 ","£65,081 "
1995-12-01,"£75,178 ","£158,799 ","£96,433 ","£74,254 ","£66,029 "
1996-01-01,"£75,342 ","£159,926 ","£96,393 ","£74,754 ","£65,870 "
1996-02-01,"£76,087 ","£159,662 ","£97,498 ","£75,122 ","£66,992 "
1996-03-01,"£75,691 ","£161,107 ","£97,079 ","£75,029 ","£66,097 "
1996-04-01,"£76,767 ","£160,304 ","£97,381 ","£75,761 ","£68,172 "
1996-05-01,"£77,215 ","£160,540 ","£98,333 ","£76,984 ","£67,630 "
1996-06-01,"£78,139 ","£163,374 ","£99,096 ","£76,944 ","£69,564 "
1996-07-01,"£78,799 ","£167,042 ","£100,384 ","£77,796 ","£69,523 "
1996-08-01,"£79,058 ","£168,725 ","£101,125 ","£78,590 ","£68,901 "
1996-09-01,"£79,752 ","£169,961 ","£101,873 ","£78,910 ","£69,975 "
1996-10-01,"£79,504 ","£171,030 ","£101,781 ","£78,586 ","£69,598 "
1996-11-01,"£80,224 ","£168,697 ","£102,161 ","£79,649 ","£70,450 "
1996-12-01,"£81,417 ","£171,030 ","£104,399 ","£80,634 ","£71,374 "
1997-01-01,"£83,066 ","£176,010 ","£105,732 ","£82,195 ","£73,141 "
1997-02-01,"£83,579 ","£176,433 ","£105,446 ","£82,178 ","£74,410 "
1997-03-01,"£84,576 ","£177,667 ","£106,903 ","£83,576 ","£74,926 "
1997-04-01,"£86,088 ","£180,373 ","£108,927 ","£84,904 ","£76,393 "
1997-05-01,"£88,544 ","£186,373 ","£112,329 ","£87,397 ","£78,356 "
1997-06-01,"£89,231 ","£190,062 ","£113,227 ","£88,606 ","£78,377 "
1997-07-01,"£92,129 ","£196,287 ","£117,350 ","£91,655 ","£80,620 "
1997-08-01,"£92,120 ","£198,166 ","£118,155 ","£91,214 ","£80,570 "
1997-09-01,"£94,180 ","£203,053 ","£120,516 ","£92,998 ","£82,656 "
1997-10-01,"£93,918 ","£202,832 ","£120,574 ","£92,778 ","£82,234 "
1997-11-01,"£95,034 ","£206,280 ","£121,845 ","£93,593 ","£83,446 "
1997-12-01,"£96,863 ","£206,669 ","£124,400 ","£95,777 ","£84,874 "
1998-01-01,"£97,914 ","£212,537 ","£124,936 ","£97,066 ","£85,657 "
1998-02-01,"£96,944 ","£205,692 ","£123,670 ","£95,203 ","£85,674 "
1998-03-01,"£98,934 ","£209,210 ","£125,718 ","£97,449 ","£87,389 "
1998-04-01,"£101,287 ","£214,790 ","£128,936 ","£99,850 ","£89,317 "
1998-05-01,"£101,077 ","£212,891 ","£129,081 ","£100,178 ","£88,700 "
1998-06-01,"£102,891 ","£216,398 ","£130,638 ","£101,331 ","£90,979 "
1998-07-01,"£104,368 ","£223,821 ","£133,832 ","£103,116 ","£91,489 "
1998-08-01,"£104,078 ","£226,677 ","£133,532 ","£102,886 ","£91,022 "
1998-09-01,"£104,611 ","£226,350 ","£134,219 ","£103,312 ","£91,626 "
1998-10-01,"£104,179 ","£225,428 ","£133,839 ","£101,990 ","£91,844 "
1998-11-01,"£104,259 ","£225,927 ","£134,036 ","£101,945 ","£91,965 "
1998-12-01,"£104,785 ","£221,985 ","£134,030 ","£103,013 ","£92,440 "
1999-01-01,"£105,695 ","£226,545 ","£134,708 ","£103,316 ","£93,692 "
1999-02-01,"£105,273 ","£225,504 ","£134,203 ","£102,843 ","£93,355 "
1999-03-01,"£107,398 ","£227,657 ","£136,004 ","£105,074 ","£95,485 "
1999-04-01,"£109,621 ","£232,531 ","£138,706 ","£108,147 ","£96,874 "
1999-05-01,"£111,216 ","£232,262 ","£139,800 ","£109,229 ","£99,033 "
1999-06-01,"£113,319 ","£240,343 ","£143,345 ","£111,644 ","£100,255 "
1999-07-01,"£117,033 ","£249,454 ","£147,256 ","£115,453 ","£103,599 "
1999-08-01,"£119,358 ","£252,272 ","£149,578 ","£117,728 ","£105,931 "
1999-09-01,"£122,611 ","£260,347 ","£152,521 ","£119,663 ","£109,954 "
1999-10-01,"£123,002 ","£261,720 ","£154,879 ","£119,887 ","£109,870 "
1999-11-01,"£125,792 ","£267,166 ","£158,051 ","£123,329 ","£111,981 "
1999-12-01,"£127,918 ","£265,355 ","£159,147 ","£124,726 ","£115,071 "
2000-01-01,"£130,411 ","£280,980 ","£165,413 ","£127,833 ","£115,506 "
2000-02-01,"£132,705 ","£279,796 ","£165,391 ","£129,708 ","£118,641 "
2000-03-01,"£134,286 ","£284,608 ","£168,433 ","£131,957 ","£119,340 "
2000-04-01,"£140,670 ","£293,946 ","£174,235 ","£136,659 ","£126,608 "
2000-05-01,"£140,862 ","£297,670 ","£176,792 ","£137,401 ","£125,794 "
2000-06-01,"£143,542 ","£298,774 ","£179,057 ","£139,575 ","£128,870 "
2000-07-01,"£146,228 ","£313,017 ","£183,384 ","£142,702 ","£130,434 "
2000-08-01,"£147,284 ","£311,885 ","£184,296 ","£142,302 ","£132,453 "
2000-09-01,"£147,316 ","£314,775 ","£183,347 ","£142,656 ","£132,409 "
2000-10-01,"£145,626 ","£314,817 ","£184,698 ","£141,042 ","£129,962 "
2000-11-01,"£147,666 ","£314,211 ","£182,742 ","£141,687 ","£133,810 "
2000-12-01,"£147,483 ","£307,562 ","£182,542 ","£141,993 ","£133,575 "
2001-01-01,"£149,543 ","£313,677 ","£185,344 ","£144,786 ","£134,820 "
2001-02-01,"£149,776 ","£316,859 ","£187,191 ","£145,438 ","£134,244 "
2001-03-01,"£150,941 ","£312,590 ","£186,613 ","£146,149 ","£136,351 "
2001-04-01,"£152,865 ","£317,568 ","£187,982 ","£148,477 ","£137,996 "
2001-05-01,"£157,156 ","£320,126 ","£192,150 ","£152,402 ","£142,572 "
2001-06-01,"£158,760 ","£321,946 ","£193,754 ","£152,838 ","£144,946 "
2001-07-01,"£161,122 ","£337,102 ","£199,554 ","£156,018 ","£145,315 "
2001-08-01,"£164,628 ","£340,860 ","£201,833 ","£159,357 ","£149,188 "
2001-09-01,"£164,820 ","£344,116 ","£202,792 ","£159,498 ","£149,093 "
2001-10-01,"£166,189 ","£348,354 ","£205,977 ","£161,134 ","£149,680 "
2001-11-01,"£167,214 ","£346,501 ","£206,766 ","£161,179 ","£151,527 "
2001-12-01,"£167,693 ","£340,664 ","£205,384 ","£160,381 ","£153,617 "
2002-01-01,"£169,841 ","£352,528 ","£210,722 ","£163,445 ","£153,883 "
2002-02-01,"£170,502 ","£347,520 ","£209,278 ","£164,721 ","£154,884 "
2002-03-01,"£172,749 ","£351,801 ","£211,962 ","£166,555 ","£157,187 "
2002-04-01,"£178,218 ","£359,916 ","£217,092 ","£170,602 ","£163,549 "
2002-05-01,"£182,805 ","£367,527 ","£223,779 ","£175,772 ","£166,997 "
2002-06-01,"£186,038 ","£369,726 ","£224,529 ","£178,283 ","£171,396 "
2002-07-01,"£191,162 ","£389,899 ","£233,908 ","£184,737 ","£173,793 "
2002-08-01,"£195,333 ","£394,662 ","£239,197 ","£189,142 ","£177,432 "
2002-09-01,"£197,045 ","£399,194 ","£242,636 ","£190,416 ","£178,855 "
2002-10-01,"£199,092 ","£404,694 ","£246,998 ","£192,683 ","£179,988 "
2002-11-01,"£202,527 ","£412,507 ","£248,842 ","£195,211 ","£184,228 "
2002-12-01,"£203,437 ","£407,963 ","£252,359 ","£196,414 ","£184,471 "
2003-01-01,"£207,162 ","£419,137 ","£254,641 ","£202,041 ","£186,926 "
2003-02-01,"£206,464 ","£414,982 ","£256,602 ","£200,114 ","£186,523 "
2003-03-01,"£205,573 ","£415,288 ","£255,085 ","£199,740 ","£185,407 "
2003-04-01,"£207,953 ","£415,921 ","£258,067 ","£201,120 ","£188,347 "
2003-05-01,"£210,583 ","£418,968 ","£261,553 ","£205,740 ","£189,359 "
2003-06-01,"£208,941 ","£417,655 ","£259,215 ","£202,891 ","£188,717 "
2003-07-01,"£213,806 ","£426,441 ","£266,051 ","£208,794 ","£192,154 "
2003-08-01,"£212,692 ","£423,770 ","£264,469 ","£208,159 ","£190,918 "
2003-09-01,"£212,901 ","£428,779 ","£266,092 ","£208,553 ","£190,449 "
2003-10-01,"£214,608 ","£427,660 ","£267,387 ","£210,387 ","£192,263 "
2003-11-01,"£215,556 ","£425,184 ","£267,314 ","£211,536 ","£193,463 "
2003-12-01,"£216,971 ","£420,852 ","£267,879 ","£211,690 ","£196,159 "
2004-01-01,"£218,855 ","£434,342 ","£271,332 ","£214,541 ","£196,490 "
2004-02-01,"£219,804 ","£434,984 ","£273,084 ","£216,428 ","£196,693 "
2004-03-01,"£221,324 ","£432,135 ","£271,383 ","£217,492 ","£199,326 "
2004-04-01,"£225,863 ","£435,578 ","£278,620 ","£223,420 ","£202,365 "
2004-05-01,"£227,330 ","£430,197 ","£279,298 ","£224,193 ","£204,628 "
2004-06-01,"£230,156 ","£438,283 ","£281,838 ","£225,947 ","£207,895 "
2004-07-01,"£233,877 ","£447,529 ","£288,388 ","£231,683 ","£209,501 "
2004-08-01,"£234,836 ","£452,951 ","£288,655 ","£232,422 ","£210,563 "
2004-09-01,"£234,134 ","£451,595 ","£288,161 ","£231,902 ","£209,748 "
2004-10-01,"£232,287 ","£448,530 ","£286,511 ","£230,059 ","£207,943 "
2004-11-01,"£234,718 ","£449,256 ","£287,896 ","£231,718 ","£211,065 "
2004-12-01,"£230,185 ","£441,332 ","£282,435 ","£227,556 ","£206,756 "
2005-01-01,"£232,422 ","£448,212 ","£284,417 ","£230,578 ","£208,376 "
2005-02-01,"£231,321 ","£442,730 ","£283,523 ","£229,239 ","£207,548 "
2005-03-01,"£231,263 ","£440,100 ","£282,278 ","£229,777 ","£207,511 "
2005-04-01,"£235,367 ","£443,176 ","£286,920 ","£234,290 ","£211,199 "
2005-05-01,"£235,685 ","£447,963 ","£288,344 ","£233,940 ","£211,479 "
2005-06-01,"£235,899 ","£443,028 ","£287,519 ","£235,917 ","£211,100 "
2005-07-01,"£237,872 ","£449,202 ","£290,947 ","£237,279 ","£212,892 "
2005-08-01,"£237,971 ","£449,857 ","£288,600 ","£237,217 ","£213,620 "
2005-09-01,"£236,916 ","£451,638 ","£290,297 ","£237,361 ","£211,176 "
2005-10-01,"£234,298 ","£442,924 ","£286,183 ","£234,167 ","£209,507 "
2005-11-01,"£236,561 ","£445,427 ","£288,242 ","£236,536 ","£211,694 "
2005-12-01,"£238,377 ","£438,936 ","£285,358 ","£237,127 ","£215,567 "
2006-01-01,"£239,846 ","£454,025 ","£291,590 ","£240,015 ","£214,584 "
2006-02-01,"£239,115 ","£448,642 ","£289,915 ","£238,395 ","£214,773 "
2006-03-01,"£241,380 ","£454,096 ","£292,056 ","£241,348 ","£216,507 "
2006-04-01,"£245,474 ","£455,431 ","£296,200 ","£245,745 ","£220,453 "
2006-05-01,"£247,591 ","£460,366 ","£297,797 ","£247,011 ","£223,018 "
2006-06-01,"£251,417 ","£465,913 ","£301,279 ","£251,705 ","£226,295 "
2006-07-01,"£253,883 ","£473,171 ","£306,203 ","£255,910 ","£226,972 "
2006-08-01,"£256,704 ","£478,540 ","£308,896 ","£257,927 ","£230,115 "
2006-09-01,"£257,541 ","£483,177 ","£310,130 ","£257,836 ","£231,214 "
2006-10-01,"£259,115 ","£483,203 ","£311,206 ","£259,231 ","£233,036 "
2006-11-01,"£258,814 ","£484,883 ","£312,651 ","£260,129 ","£231,582 "
2006-12-01,"£264,494 ","£491,261 ","£316,458 ","£264,717 ","£238,180 "
2007-01-01,"£267,658 ","£496,475 ","£319,628 ","£268,351 ","£240,937 "
2007-02-01,"£270,780 ","£501,729 ","£322,708 ","£269,149 ","£245,120 "
2007-03-01,"£273,479 ","£506,544 ","£325,473 ","£274,191 ","£246,442 "
2007-04-01,"£278,805 ","£512,600 ","£330,825 ","£280,670 ","£251,019 "
2007-05-01,"£282,726 ","£515,304 ","£334,101 ","£282,458 ","£256,149 "
2007-06-01,"£285,958 ","£524,980 ","£337,493 ","£285,874 ","£258,918 "
2007-07-01,"£295,694 ","£547,759 ","£350,983 ","£296,015 ","£266,890 "
2007-08-01,"£297,653 ","£546,248 ","£350,162 ","£298,971 ","£269,035 "
2007-09-01,"£298,414 ","£552,891 ","£351,709 ","£297,548 ","£270,506 "
2007-10-01,"£298,559 ","£555,873 ","£351,538 ","£297,591 ","£270,658 "
2007-11-01,"£297,648 ","£560,486 ","£354,894 ","£296,952 ","£268,479 "
2007-12-01,"£297,994 ","£551,709 ","£352,333 ","£296,305 ","£270,329 "
2008-01-01,"£298,596 ","£562,436 ","£354,015 ","£298,254 ","£269,578 "
2008-02-01,"£295,700 ","£552,961 ","£351,217 ","£294,639 ","£267,322 "
2008-03-01,"£293,605 ","£547,952 ","£349,568 ","£294,811 ","£264,226 "
2008-04-01,"£294,346 ","£557,690 ","£349,515 ","£294,697 ","£265,191 "
2008-05-01,"£295,163 ","£550,050 ","£350,758 ","£295,286 ","£266,306 "
2008-06-01,"£290,100 ","£542,550 ","£344,894 ","£291,896 ","£260,848 "
2008-07-01,"£290,261 ","£546,197 ","£343,508 ","£288,804 ","£262,734 "
2008-08-01,"£281,721 ","£532,326 ","£335,791 ","£281,308 ","£253,968 "
2008-09-01,"£276,487 ","£524,235 ","£326,819 ","£274,565 ","£250,460 "
2008-10-01,"£266,999 ","£506,702 ","£316,158 ","£262,929 ","£242,805 "
2008-11-01,"£258,647 ","£493,046 ","£308,780 ","£257,811 ","£233,135 "
2008-12-01,"£253,881 ","£480,437 ","£303,686 ","£253,948 ","£228,422 "
2009-01-01,"£253,093 ","£484,980 ","£300,817 ","£250,089 ","£229,353 "
2009-02-01,"£249,847 ","£465,160 ","£296,380 ","£247,380 ","£226,949 "
2009-03-01,"£247,264 ","£460,766 ","£291,834 ","£244,007 ","£225,466 "
2009-04-01,"£245,351 ","£456,683 ","£291,883 ","£243,875 ","£222,092 "
2009-05-01,"£249,991 ","£462,317 ","£295,985 ","£248,103 ","£227,052 "
2009-06-01,"£253,596 ","£468,537 ","£299,623 ","£254,191 ","£229,061 "
2009-07-01,"£259,793 ","£484,437 ","£310,207 ","£261,258 ","£233,071 "
2009-08-01,"£262,076 ","£491,850 ","£314,236 ","£263,938 ","£234,400 "
2009-09-01,"£267,501 ","£497,220 ","£316,791 ","£267,705 ","£241,515 "
2009-10-01,"£268,780 ","£504,815 ","£321,628 ","£270,498 ","£240,658 "
2009-11-01,"£266,837 ","£501,064 ","£318,077 ","£270,130 ","£238,347 "
2009-12-01,"£270,118 ","£502,617 ","£323,927 ","£273,328 ","£241,063 "
2010-01-01,"£279,724 ","£525,410 ","£335,145 ","£283,569 ","£249,180 "
2010-02-01,"£278,753 ","£524,431 ","£335,551 ","£282,885 ","£247,719 "
2010-03-01,"£280,472 ","£532,768 ","£335,940 ","£281,836 ","£250,903 "
2010-04-01,"£281,981 ","£530,526 ","£337,788 ","£284,471 ","£251,899 "
2010-05-01,"£281,762 ","£532,230 ","£337,877 ","£285,520 ","£250,835 "
2010-06-01,"£284,541 ","£536,235 ","£340,019 ","£288,347 ","£253,666 "
2010-07-01,"£292,772 ","£560,177 ","£351,466 ","£298,269 ","£259,349 "
2010-08-01,"£290,646 ","£552,684 ","£352,306 ","£295,010 ","£257,356 "
2010-09-01,"£290,093 ","£559,284 ","£350,133 ","£294,941 ","£256,612 "
2010-10-01,"£286,131 ","£548,402 ","£345,578 ","£289,873 ","£253,754 "
2010-11-01,"£282,290 ","£545,732 ","£343,402 ","£284,672 ","£250,196 "
2010-12-01,"£285,353 ","£545,247 ","£344,640 ","£287,916 ","£253,763 "
2011-01-01,"£287,983 ","£561,353 ","£347,089 ","£291,581 ","£255,214 "
2011-02-01,"£285,227 ","£556,285 ","£343,860 ","£286,549 ","£253,953 "
2011-03-01,"£287,092 ","£559,907 ","£342,214 ","£287,434 ","£257,165 "
2011-04-01,"£293,993 ","£556,813 ","£346,657 ","£295,121 ","£264,752 "
2011-05-01,"£284,722 ","£539,789 ","£342,357 ","£286,936 ","£254,026 "
2011-06-01,"£285,906 ","£534,579 ","£340,812 ","£287,950 ","£256,336 "
2011-07-01,"£295,843 ","£555,115 ","£350,495 ","£298,117 ","£265,623 "
2011-08-01,"£294,903 ","£558,789 ","£354,046 ","£299,996 ","£261,746 "
2011-09-01,"£295,358 ","£566,622 ","£353,417 ","£299,513 ","£262,610 "
2011-10-01,"£292,267 ","£565,503 ","£354,002 ","£294,911 ","£259,320 "
2011-11-01,"£291,036 ","£559,120 ","£348,955 ","£291,888 ","£260,317 "
2011-12-01,"£292,284 ","£553,602 ","£350,948 ","£294,428 ","£261,000 "
2012-01-01,"£294,360 ","£554,780 ","£352,985 ","£297,924 ","£262,346 "
2012-02-01,"£292,381 ","£569,459 ","£354,995 ","£297,507 ","£257,937 "
2012-03-01,"£290,379 ","£544,127 ","£345,599 ","£294,550 ","£259,216 "
2012-04-01,"£299,065 ","£561,806 ","£354,724 ","£301,792 ","£267,993 "
2012-05-01,"£304,081 ","£570,424 ","£361,779 ","£308,408 ","£271,470 "
2012-06-01,"£306,823 ","£567,821 ","£361,738 ","£312,798 ","£274,239 "
2012-07-01,"£308,962 ","£580,113 ","£366,704 ","£315,144 ","£275,099 "
2012-08-01,"£310,043 ","£582,142 ","£368,878 ","£316,895 ","£275,527 "
2012-09-01,"£308,469 ","£579,776 ","£365,664 ","£314,230 ","£274,948 "
2012-10-01,"£310,281 ","£580,841 ","£367,792 ","£314,956 ","£277,248 "
2012-11-01,"£308,540 ","£579,766 ","£366,472 ","£313,951 ","£275,027 "
2012-12-01,"£313,744 ","£584,430 ","£368,743 ","£319,691 ","£280,600 "
2013-01-01,"£311,364 ","£585,417 ","£371,472 ","£316,619 ","£277,251 "
2013-02-01,"£313,550 ","£584,924 ","£369,428 ","£318,273 ","£280,689 "
2013-03-01,"£312,289 ","£587,252 ","£369,862 ","£317,191 ","£278,831 "
2013-04-01,"£320,921 ","£592,752 ","£374,400 ","£325,254 ","£288,624 "
2013-05-01,"£322,324 ","£600,796 ","£379,979 ","£327,099 ","£288,559 "
2013-06-01,"£324,518 ","£600,375 ","£380,448 ","£330,385 ","£290,694 "
2013-07-01,"£332,988 ","£612,056 ","£388,303 ","£339,351 ","£298,764 "
2013-08-01,"£335,743 ","£621,017 ","£394,860 ","£343,054 ","£299,890 "
2013-09-01,"£340,494 ","£627,915 ","£394,236 ","£346,089 ","£306,464 "
2013-10-01,"£340,045 ","£629,328 ","£398,386 ","£343,921 ","£305,736 "
2013-11-01,"£343,749 ","£631,279 ","£401,464 ","£348,311 ","£309,270 "
2013-12-01,"£352,028 ","£632,546 ","£405,661 ","£355,889 ","£319,009 "
2014-01-01,"£355,830 ","£651,986 ","£413,770 ","£360,184 ","£320,787 "
2014-02-01,"£357,876 ","£657,774 ","£415,632 ","£361,192 ","£323,086 "
2014-03-01,"£361,400 ","£656,427 ","£417,649 ","£365,214 ","£326,778 "
2014-04-01,"£375,337 ","£688,122 ","£435,644 ","£381,773 ","£337,738 "
2014-05-01,"£382,705 ","£692,487 ","£441,186 ","£388,249 ","£345,723 "
2014-06-01,"£387,182 ","£699,099 ","£446,329 ","£393,924 ","£349,362 "
2014-07-01,"£398,737 ","£728,491 ","£465,103 ","£407,975 ","£357,492 "
2014-08-01,"£404,754 ","£739,313 ","£471,552 ","£414,689 ","£362,768 "
2014-09-01,"£403,670 ","£738,828 ","£468,585 ","£411,840 ","£362,757 "
2014-10-01,"£402,300 ","£741,040 ","£470,849 ","£410,173 ","£360,746 "
2014-11-01,"£400,803 ","£743,115 ","£472,027 ","£409,211 ","£358,450 "
2014-12-01,"£402,898 ","£739,606 ","£469,349 ","£409,482 ","£362,322 "
2015-01-01,"£402,847 ","£743,471 ","£471,904 ","£408,951 ","£361,840 "
2015-02-01,"£404,773 ","£748,417 ","£473,702 ","£410,966 ","£363,574 "
2015-03-01,"£404,706 ","£746,670 ","£474,072 ","£410,639 ","£363,615 "
2015-04-01,"£410,445 ","£759,614 ","£480,438 ","£419,154 ","£367,469 "
2015-05-01,"£415,817 ","£758,190 ","£485,444 ","£422,193 ","£374,213 "
2015-06-01,"£419,474 ","£772,089 ","£493,081 ","£431,687 ","£373,769 "
2015-07-01,"£431,644 ","£787,783 ","£506,181 ","£443,661 ","£385,416 "
2015-08-01,"£436,152 ","£805,864 ","£514,997 ","£448,942 ","£387,978 "
2015-09-01,"£439,729 ","£820,565 ","£517,030 ","£450,734 ","£392,127 "
2015-10-01,"£440,484 ","£824,799 ","£525,228 ","£455,397 ","£389,400 "
2015-11-01,"£445,485 ","£828,661 ","£528,318 ","£458,454 ","£395,612 "
2015-12-01,"£450,053 ","£844,884 ","£536,465 ","£462,912 ","£398,893 "
2016-01-01,"£457,466 ","£846,956 ","£546,758 ","£470,317 ","£405,793 "
2016-02-01,"£457,759 ","£863,896 ","£550,400 ","£472,651 ","£403,745 "
2016-03-01,"£464,647 ","£873,391 ","£549,954 ","£477,329 ","£412,842 "
