,Date,Property Type,Price
0,1999-10-01,All property types,123002
1,1999-10-01,Detached houses,261720
2,1999-10-01,Semi-detached houses,154879
3,1999-10-01,Terraced houses,119887
4,1999-10-01,Flats and maisonettes,109870
5,1999-11-01,All property types,125792
6,1999-11-01,Detached houses,267166
7,1999-11-01,Semi-detached houses,158051
8,1999-11-01,Terraced houses,123329
9,1999-11-01,Flats and maisonettes,111981
10,1999-12-01,All property types,127918
11,1999-12-01,Detached houses,265355
12,1999-12-01,Semi-detached houses,159147
13,1999-12-01,Terraced houses,124726
14,1999-12-01,Flats and maisonettes,115071
15,2000-01-01,All property types,130411
16,2000-01-01,Detached houses,280980
17,2000-01-01,Semi-detached houses,165413
18,2000-01-01,Terraced houses,127833
19,2000-01-01,Flats and maisonettes,115506
20,2000-02-01,All property types,132705
21,2000-02-01,Detached houses,279796
22,2000-02-01,Semi-detached houses,165391
23,2000-02-01,Terraced houses,129708
24,2000-02-01,Flats and maisonettes,118641
25,2000-03-01,All property types,134286
26,2000-03-01,Detached houses,284608
27,2000-03-01,Semi-detached houses,168433
28,2000-03-01,Terraced houses,131957
29,2000-03-01,Flats and maisonettes,119340
30,2000-04-01,All property types,140670
31,2000-04-01,Detached houses,293946
32,2000-04-01,Semi-detached houses,174235
33,2000-04-01,Terraced houses,136659
34,2000-04-01,Flats and maisonettes,126608
35,2000-05-01,All property types,140862
36,2000-05-01,Detached houses,297670
37,2000-05-01,Semi-detached houses,176792
38,2000-05-01,Terraced houses,137401
39,2000-05-01,Flats and maisonettes,125794
40,2000-06-01,All property types,143542
41,2000-06-01,Detached houses,298774
42,2000-06-01,Semi-detached houses,179057
43,2000-06-01,Terraced houses,139575
44,2000-06-01,Flats and maisonettes,128870
45,2000-07-01,All property types,146228
46,2000-07-01,Detached houses,313017
47,2000-07-01,Semi-detached houses,183384
48,2000-07-01,Terraced houses,142702
49,2000-07-01,Flats and maisonettes,130434
50,2000-08-01,All property types,147284
51,2000-08-01,Detached houses,311885
52,2000-08-01,Semi-detached houses,184296
53,2000-08-01,Terraced houses,142302
54,2000-08-01,Flats and maisonettes,132453
55,2000-09-01,All property types,147316
56,2000-09-01,Detached houses,314775
57,2000-09-01,Semi-detached houses,183347
58,2000-09-01,Terraced houses,142656
59,2000-09-01,Flats and maisonettes,132409
60,2000-10-01,All property types,145626
61,2000-10-01,Detached houses,314817
62,2000-10-01,Semi-detached houses,184698
63,2000-10-01,Terraced houses,141042
64,2000-10-01,Flats and maisonettes,129962
65,2000-11-01,All property types,147666
66,2000-11-01,Detached houses,314211
67,2000-11-01,Semi-detached houses,182742
68,2000-11-01,Terraced houses,141687
69,2000-11-01,Flats and maisonettes,133810
70,2000-12-01,All property types,147483
71,2000-12-01,Detached houses,307562
72,2000-12-01,Semi-detached houses,182542
73,2000-12-01,Terraced houses,141993
74,2000-12-01,Flats and maisonettes,133575
75,2001-01-01,All property types,149543
76,2001-01-01,Detached houses,313677
77,2001-01-01,Semi-detached houses,185344
78,2001-01-01,Terraced houses,144786
79,2001-01-01,Flats and maisonettes,134820
80,2001-02-01,All property types,149776
81,2001-02-01,Detached houses,316859
82,2001-02-01,Semi-detached houses,187191
83,2001-02-01,Terraced houses,145438
84,2001-02-01,Flats and maisonettes,134244
85,2001-03-01,All property types,150941
86,2001-03-01,Detached houses,312590
87,2001-03-01,Semi-detached houses,186613
88,2001-03-01,Terraced houses,146149
89,2001-03-01,Flats and maisonettes,136351
90,2001-04-01,All property types,152865
91,2001-04-01,Detached houses,317568
92,2001-04-01,Semi-detached houses,187982
93,2001-04-01,Terraced houses,148477
94,2001-04-01,Flats and maisonettes,137996
95,2001-05-01,All property types,157156
96,2001-05-01,Detached houses,320126
97,2001-05-01,Semi-detached houses,192150
98,2001-05-01,Terraced houses,152402
99,2001-05-01,Flats and maisonettes,142572
100,2001-06-01,All property types,158760
101,2001-06-01,Detached houses,321946
102,2001-06-01,Semi-detached houses,193754
103,2001-06-01,Terraced houses,152838
104,2001-06-01,Flats and maisonettes,144946
105,2001-07-01,All property types,161122
106,2001-07-01,Detached houses,337102
107,2001-07-01,Semi-detached houses,199554
108,2001-07-01,Terraced houses,156018
109,2001-07-01,Flats and maisonettes,145315
110,2001-08-01,All property types,164628
111,2001-08-01,Detached houses,340860
112,2001-08-01,Semi-detached houses,201833
113,2001-08-01,Terraced houses,159357
114,2001-08-01,Flats and maisonettes,149188
115,2001-09-01,All property types,164820
116,2001-09-01,Detached houses,344116
117,2001-09-01,Semi-detached houses,202792
118,2001-09-01,Terraced houses,159498
119,2001-09-01,Flats and maisonettes,149093
120,2001-10-01,All property types,166189
121,2001-10-01,Detached houses,348354
122,2001-10-01,Semi-detached houses,205977
123,2001-10-01,Terraced houses,161134
124,2001-10-01,Flats and maisonettes,149680
125,2001-11-01,All property types,167214
126,2001-11-01,Detached houses,346501
127,2001-11-01,Semi-detached houses,206766
128,2001-11-01,Terraced houses,161179
129,2001-11-01,Flats and maisonettes,151527
130,2001-12-01,All property types,167693
131,2001-12-01,Detached houses,340664
132,2001-12-01,Semi-detached houses,205384
133,2001-12-01,Terraced houses,160381
134,2001-12-01,Flats and maisonettes,153617
135,2002-01-01,All property types,169841
136,2002-01-01,Detached houses,352528
137,2002-01-01,Semi-detached houses,210722
138,2002-01-01,Terraced houses,163445
139,2002-01-01,Flats and maisonettes,153883
140,2002-02-01,All property types,170502
141,2002-02-01,Detached houses,347520
142,2002-02-01,Semi-detached houses,209278
143,2002-02-01,Terraced houses,164721
144,2002-02-01,Flats and maisonettes,154884
145,2002-03-01,All property types,172749
146,2002-03-01,Detached houses,351801
147,2002-03-01,Semi-detached houses,211962
148,2002-03-01,Terraced houses,166555
149,2002-03-01,Flats and maisonettes,157187
150,2002-04-01,All property types,178218
151,2002-04-01,Detached houses,359916
152,2002-04-01,Semi-detached houses,217092
153,2002-04-01,Terraced houses,170602
154,2002-04-01,Flats and maisonettes,163549
155,2002-05-01,All property types,182805
156,2002-05-01,Detached houses,367527
157,2002-05-01,Semi-detached houses,223779
158,2002-05-01,Terraced houses,175772
159,2002-05-01,Flats and maisonettes,166997
160,2002-06-01,All property types,186038
161,2002-06-01,Detached houses,369726
162,2002-06-01,Semi-detached houses,224529
163,2002-06-01,Terraced houses,178283
164,2002-06-01,Flats and maisonettes,171396
165,2002-07-01,All property types,191162
166,2002-07-01,Detached houses,389899
167,2002-07-01,Semi-detached houses,233908
168,2002-07-01,Terraced houses,184737
169,2002-07-01,Flats and maisonettes,173793
170,2002-08-01,All property types,195333
171,2002-08-01,Detached houses,394662
172,2002-08-01,Semi-detached houses,239197
173,2002-08-01,Terraced houses,189142
174,2002-08-01,Flats and maisonettes,177432
175,2002-09-01,All property types,197045
176,2002-09-01,Detached houses,399194
177,2002-09-01,Semi-detached houses,242636
178,2002-09-01,Terraced houses,190416
179,2002-09-01,Flats and maisonettes,178855
180,2002-10-01,All property types,199092
181,2002-10-01,Detached houses,404694
182,2002-10-01,Semi-detached houses,246998
183,2002-10-01,Terraced houses,192683
184,2002-10-01,Flats and maisonettes,179988
185,2002-11-01,All property types,202527
186,2002-11-01,Detached houses,412507
187,2002-11-01,Semi-detached houses,248842
188,2002-11-01,Terraced houses,195211
189,2002-11-01,Flats and maisonettes,184228
190,2002-12-01,All property types,203437
191,2002-12-01,Detached houses,407963
192,2002-12-01,Semi-detached houses,252359
193,2002-12-01,Terraced houses,196414
194,2002-12-01,Flats and maisonettes,184471
195,2003-01-01,All property types,207162
196,2003-01-01,Detached houses,419137
197,2003-01-01,Semi-detached houses,254641
198,2003-01-01,Terraced houses,202041
199,2003-01-01,Flats and maisonettes,186926
200,2003-02-01,All property types,206464
201,2003-02-01,Detached houses,414982
202,2003-02-01,Semi-detached houses,256602
203,2003-02-01,Terraced houses,200114
204,2003-02-01,Flats and maisonettes,186523
205,2003-03-01,All property types,205573
206,2003-03-01,Detached houses,415288
207,2003-03-01,Semi-detached houses,255085
208,2003-03-01,Terraced houses,199740
209,2003-03-01,Flats and maisonettes,185407
210,2003-04-01,All property types,207953
211,2003-04-01,Detached houses,415921
212,2003-04-01,Semi-detached houses,258067
213,2003-04-01,Terraced houses,201120
214,2003-04-01,Flats and maisonettes,188347
215,2003-05-01,All property types,210583
216,2003-05-01,Detached houses,418968
217,2003-05-01,Semi-detached houses,261553
218,2003-05-01,Terraced houses,205740
219,2003-05-01,Flats and maisonettes,189359
220,2003-06-01,All property types,208941
221,2003-06-01,Detached houses,417655
222,2003-06-01,Semi-detached houses,259215
223,2003-06-01,Terraced houses,202891
224,2003-06-01,Flats and maisonettes,188717
225,2003-07-01,All property types,213806
226,2003-07-01,Detached houses,426441
227,2003-07-01,Semi-detached houses,266051
228,2003-07-01,Terraced houses,208794
229,2003-07-01,Flats and maisonettes,192154
230,2003-08-01,All property types,212692
231,2003-08-01,Detached houses,423770
232,2003-08-01,Semi-detached houses,264469
233,2003-08-01,Terraced houses,208159
234,2003-08-01,Flats and maisonettes,190918
235,2003-09-01,All property types,212901
236,2003-09-01,Detached houses,428779
237,2003-09-01,Semi-detached houses,266092
238,2003-09-01,Terraced houses,208553
239,2003-09-01,Flats and maisonettes,190449
240,2003-10-01,All property types,214608
241,2003-10-01,Detached houses,427660
242,2003-10-01,Semi-detached houses,267387
243,2003-10-01,Terraced houses,210387
244,2003-10-01,Flats and maisonettes,192263
245,2003-11-01,All property types,215556
246,2003-11-01,Detached houses,425184
247,2003-11-01,Semi-detached houses,267314
248,2003-11-01,Terraced houses,211536
249,2003-11-01,Flats and maisonettes,193463
250,2003-12-01,All property types,216971
251,2003-12-01,Detached houses,420852
252,2003-12-01,Semi-detached houses,267879
253,2003-12-01,Terraced houses,211690
254,2003-12-01,Flats and maisonettes,196159
255,2004-01-01,All property types,218855
256,2004-01-01,Detached houses,434342
257,2004-01-01,Semi-detached houses,271332
258,2004-01-01,Terraced houses,214541
259,2004-01-01,Flats and maisonettes,196490
260,2004-02-01,All property types,219804
261,2004-02-01,Detached houses,434984
262,2004-02-01,Semi-detached houses,273084
263,2004-02-01,Terraced houses,216428
264,2004-02-01,Flats and maisonettes,196693
265,2004-03-01,All property types,221324
266,2004-03-01,Detached houses,432135
267,2004-03-01,Semi-detached houses,271383
268,2004-03-01,Terraced houses,217492
269,2004-03-01,Flats and maisonettes,199326
270,2004-04-01,All property types,225863
271,2004-04-01,Detached houses,435578
272,2004-04-01,Semi-detached houses,278620
273,2004-04-01,Terraced houses,223420
274,2004-04-01,Flats and maisonettes,202365
275,2004-05-01,All property types,227330
276,2004-05-01,Detached houses,430197
277,2004-05-01,Semi-detached houses,279298
278,2004-05-01,Terraced houses,224193
279,2004-05-01,Flats and maisonettes,204628
280,2004-06-01,All property types,230156
281,2004-06-01,Detached houses,438283
282,2004-06-01,Semi-detached houses,281838
283,2004-06-01,Terraced houses,225947
284,2004-06-01,Flats and maisonettes,207895
285,2004-07-01,All property types,233877
286,2004-07-01,Detached houses,447529
287,2004-07-01,Semi-detached houses,288388
288,2004-07-01,Terraced houses,231683
289,2004-07-01,Flats and maisonettes,209501
290,2004-08-01,All property types,234836
291,2004-08-01,Detached houses,452951
292,2004-08-01,Semi-detached houses,288655
293,2004-08-01,Terraced houses,232422
294,2004-08-01,Flats and maisonettes,210563
295,2004-09-01,All property types,234134
296,2004-09-01,Detached houses,451595
297,2004-09-01,Semi-detached houses,288161
298,2004-09-01,Terraced houses,231902
299,2004-09-01,Flats and maisonettes,209748
300,2004-10-01,All property types,232287
301,2004-10-01,Detached houses,448530
302,2004-10-01,Semi-detached houses,286511
303,2004-10-01,Terraced houses,230059
304,2004-10-01,Flats and maisonettes,207943
305,2004-11-01,All property types,234718
306,2004-11-01,Detached houses,449256
307,2004-11-01,Semi-detached houses,287896
308,2004-11-01,Terraced houses,231718
309,2004-11-01,Flats and maisonettes,211065
310,2004-12-01,All property types,230185
311,2004-12-01,Detached houses,441332
312,2004-12-01,Semi-detached houses,282435
313,2004-12-01,Terraced houses,227556
314,2004-12-01,Flats and maisonettes,206756
315,2005-01-01,All property types,232422
316,2005-01-01,Detached houses,448212
317,2005-01-01,Semi-detached houses,284417
318,2005-01-01,Terraced houses,230578
319,2005-01-01,Flats and maisonettes,208376
320,2005-02-01,All property types,231321
321,2005-02-01,Detached houses,442730
322,2005-02-01,Semi-detached houses,283523
323,2005-02-01,Terraced houses,229239
324,2005-02-01,Flats and maisonettes,207548
325,2005-03-01,All property types,231263
326,2005-03-01,Detached houses,440100
327,2005-03-01,Semi-detached houses,282278
328,2005-03-01,Terraced houses,229777
329,2005-03-01,Flats and maisonettes,207511
330,2005-04-01,All property types,235367
331,2005-04-01,Detached houses,443176
332,2005-04-01,Semi-detached houses,286920
333,2005-04-01,Terraced houses,234290
334,2005-04-01,Flats and maisonettes,211199
335,2005-05-01,All property types,235685
336,2005-05-01,Detached houses,447963
337,2005-05-01,Semi-detached houses,288344
338,2005-05-01,Terraced houses,233940
339,2005-05-01,Flats and maisonettes,211479
340,2005-06-01,All property types,235899
341,2005-06-01,Detached houses,443028
342,2005-06-01,Semi-detached houses,287519
343,2005-06-01,Terraced houses,235917
344,2005-06-01,Flats and maisonettes,211100
345,2005-07-01,All property types,237872
346,2005-07-01,Detached houses,449202
347,2005-07-01,Semi-detached houses,290947
348,2005-07-01,Terraced houses,237279
349,2005-07-01,Flats and maisonettes,212892
350,2005-08-01,All property types,237971
351,2005-08-01,Detached houses,449857
352,2005-08-01,Semi-detached houses,288600
353,2005-08-01,Terraced houses,237217
354,2005-08-01,Flats and maisonettes,213620
355,2005-09-01,All property types,236916
356,2005-09-01,Detached houses,451638
357,2005-09-01,Semi-detached houses,290297
358,2005-09-01,Terraced houses,237361
359,2005-09-01,Flats and maisonettes,211176
360,2005-10-01,All property types,234298
361,2005-10-01,Detached houses,442924
362,2005-10-01,Semi-detached houses,286183
363,2005-10-01,Terraced houses,234167
364,2005-10-01,Flats and maisonettes,209507
365,2005-11-01,All property types,236561
366,2005-11-01,Detached houses,445427
367,2005-11-01,Semi-detached houses,288242
368,2005-11-01,Terraced houses,236536
369,2005-11-01,Flats and maisonettes,211694
370,2005-12-01,All property types,238377
371,2005-12-01,Detached houses,438936
372,2005-12-01,Semi-detached houses,285358
373,2005-12-01,Terraced houses,237127
374,2005-12-01,Flats and maisonettes,215567
375,2006-01-01,All property types,239846
376,2006-01-01,Detached houses,454025
377,2006-01-01,Semi-detached houses,291590
378,2006-01-01,Terraced houses,240015
379,2006-01-01,Flats and maisonettes,214584
380,2006-02-01,All property types,239115
381,2006-02-01,Detached houses,448642
382,2006-02-01,Semi-detached houses,289915
383,2006-02-01,Terraced houses,238395
384,2006-02-01,Flats and maisonettes,214773
385,2006-03-01,All property types,241380
386,2006-03-01,Detached houses,454096
387,2006-03-01,Semi-detached houses,292056
388,2006-03-01,Terraced houses,241348
389,2006-03-01,Flats and maisonettes,216507
390,2006-04-01,All property types,245474
391,2006-04-01,Detached houses,455431
392,2006-04-01,Semi-detached houses,296200
393,2006-04-01,Terraced houses,245745
394,2006-04-01,Flats and maisonettes,220453
395,2006-05-01,All property types,247591
396,2006-05-01,Detached houses,460366
397,2006-05-01,Semi-detached houses,297797
398,2006-05-01,Terraced houses,247011
399,2006-05-01,Flats and maisonettes,223018
400,2006-06-01,All property types,251417
401,2006-06-01,Detached houses,465913
402,2006-06-01,Semi-detached houses,301279
403,2006-06-01,Terraced houses,251705
404,2006-06-01,Flats and maisonettes,226295
405,2006-07-01,All property types,253883
406,2006-07-01,Detached houses,473171
407,2006-07-01,Semi-detached houses,306203
408,2006-07-01,Terraced houses,255910
409,2006-07-01,Flats and maisonettes,226972
410,2006-08-01,All property types,256704
411,2006-08-01,Detached houses,478540
412,2006-08-01,Semi-detached houses,308896
413,2006-08-01,Terraced houses,257927
414,2006-08-01,Flats and maisonettes,230115
415,2006-09-01,All property types,257541
416,2006-09-01,Detached houses,483177
417,2006-09-01,Semi-detached houses,310130
418,2006-09-01,Terraced houses,257836
419,2006-09-01,Flats and maisonettes,231214
420,2006-10-01,All property types,259115
421,2006-10-01,Detached houses,483203
422,2006-10-01,Semi-detached houses,311206
423,2006-10-01,Terraced houses,259231
424,2006-10-01,Flats and maisonettes,233036
425,2006-11-01,All property types,258814
426,2006-11-01,Detached houses,484883
427,2006-11-01,Semi-detached houses,312651
428,2006-11-01,Terraced houses,260129
429,2006-11-01,Flats and maisonettes,231582
430,2006-12-01,All property types,264494
431,2006-12-01,Detached houses,491261
432,2006-12-01,Semi-detached houses,316458
433,2006-12-01,Terraced houses,264717
434,2006-12-01,Flats and maisonettes,238180
435,2007-01-01,All property types,267658
436,2007-01-01,Detached houses,496475
437,2007-01-01,Semi-detached houses,319628
438,2007-01-01,Terraced houses,268351
439,2007-01-01,Flats and maisonettes,240937
440,2007-02-01,All property types,270780
441,2007-02-01,Detached houses,501729
442,2007-02-01,Semi-detached houses,322708
443,2007-02-01,Terraced houses,269149
444,2007-02-01,Flats and maisonettes,245120
445,2007-03-01,All property types,273479
446,2007-03-01,Detached houses,506544
447,2007-03-01,Semi-detached houses,325473
448,2007-03-01,Terraced houses,274191
449,2007-03-01,Flats and maisonettes,246442
450,2007-04-01,All property types,278805
451,2007-04-01,Detached houses,512600
452,2007-04-01,Semi-detached houses,330825
453,2007-04-01,Terraced houses,280670
454,2007-04-01,Flats and maisonettes,251019
455,2007-05-01,All property types,282726
456,2007-05-01,Detached houses,515304
457,2007-05-01,Semi-detached houses,334101
458,2007-05-01,Terraced houses,282458
459,2007-05-01,Flats and maisonettes,256149
460,2007-06-01,All property types,285958
461,2007-06-01,Detached houses,524980
462,2007-06-01,Semi-detached houses,337493
463,2007-06-01,Terraced houses,285874
464,2007-06-01,Flats and maisonettes,258918
465,2007-07-01,All property types,295694
466,2007-07-01,Detached houses,547759
467,2007-07-01,Semi-detached houses,350983
468,2007-07-01,Terraced houses,296015
469,2007-07-01,Flats and maisonettes,266890
470,2007-08-01,All property types,297653
471,2007-08-01,Detached houses,546248
472,2007-08-01,Semi-detached houses,350162
473,2007-08-01,Terraced houses,298971
474,2007-08-01,Flats and maisonettes,269035
475,2007-09-01,All property types,298414
476,2007-09-01,Detached houses,552891
477,2007-09-01,Semi-detached houses,351709
478,2007-09-01,Terraced houses,297548
479,2007-09-01,Flats and maisonettes,270506
480,2007-10-01,All property types,298559
481,2007-10-01,Detached houses,555873
482,2007-10-01,Semi-detached houses,351538
483,2007-10-01,Terraced houses,297591
484,2007-10-01,Flats and maisonettes,270658
485,2007-11-01,All property types,297648
486,2007-11-01,Detached houses,560486
487,2007-11-01,Semi-detached houses,354894
488,2007-11-01,Terraced houses,296952
489,2007-11-01,Flats and maisonettes,268479
490,2007-12-01,All property types,297994
491,2007-12-01,Detached houses,551709
492,2007-12-01,Semi-detached houses,352333
493,2007-12-01,Terraced houses,296305
494,2007-12-01,Flats and maisonettes,270329
495,2008-01-01,All property types,298596
496,2008-01-01,Detached houses,562436
497,2008-01-01,Semi-detached houses,354015
498,2008-01-01,Terraced houses,298254
499,2008-01-01,Flats and maisonettes,269578
500,2008-02-01,All property types,295700
501,2008-02-01,Detached houses,552961
