,0,1,2,3,4
0,London Postcode,Areas covered,Avg property price,5% deposit,Average Property Price
1,EC1,"Barbican, Clerkenwell, Finsbury","£744,055","£37,202.75","744,055"
2,EC2,"Moorgate, Liverpool Street","£925,413","£46,270.65","925,413"
3,EC3,"Aldgate, Monument, Tower Hill","£957,179","£47,858.95","957,179"
4,EC4,"Fleet Street, St Paul’s","£621,141","£31,057.05","621,141"
5,WC1,"Bloomsbury, Gray's Inn","£867,634","£43,381.70","867,634"
6,WC2,"Covent Garden, Holborn, Strand","£1,667,871","£83,393.55","1,667,871"
0,London Postcode,Areas covered,Avg property price,5% deposit,Avg property price
1,E1,"Mile End, Stepney, Whitechapel","£518,931","£25,946.55","518,931"
2,E2,"Bethnal Green, Shoreditch","£511,527","£25,576.35","511,527"
3,E3,"Bow, Bromley-by-Bow","£458,971","£22,948.55","458,971"
4,E4,"Chingford, Highams Park","£447,763","£22,388.15","447,763"
5,E5,Clapton,"£589,863","£29,493.15","589,863"
6,E6,"East Ham, Beckton","£350,124","£17,506.20","350,124"
7,E7,"Forest Gate, Upton Park","£426,400","£21,320.00","426,400"
8,E8,"Hackney, Dalston","£602,990","£30,149.50","602,990"
9,E9,"Hackney, Homerton","£541,092","£27,054.60","541,092"
10,E10,Leyton,"£444,525","£22,226.25","444,525"
11,E11,Leytonstone,"£509,895","£25,494.75","509,895"
12,E12,Manor Park,"£415,993","£20,799.65","415,993"
13,E13,Plaistow,"£382,300","£19,115.00","382,300"
14,E14,"Isle of Dogs, Millwall, Poplar","£545,606","£27,280.30","545,606"
15,E15,"Stratford, West Ham","£411,224","£20,561.20","411,224"
16,E16,"Canning Town, North Woolwich","£447,381","£22,369.05","447,381"
17,E17,Walthamstow,"£490,380","£24,519.00","490,380"
18,E18,South Woodford,"£491,651","£24,582.55","491,651"
0,London Postcode,Areas covered,Avg property price,5% deposit,Avg property price
1,N1,"Barnsbury, Canonbury, Islington","£766,791","£38,339.55","766,791"
2,N2,East Finchley,"£819,933","£40,996.65","819,933"
3,N3,Finchley Central,"£621,632","£31,081.60","621,632"
4,N4,"Finsbury Park, Manor House","£566,875","£28,343.75","566,875"
5,N5,Highbury,"£787,482","£39,374.10","787,482"
6,N6,Highgate,"£977,235","£48,861.75","977,235"
7,N7,Holloway,"£558,457","£27,922.85","558,457"
8,N8,"Crouch End, Hornsey","£659,062","£32,953.10","659,062"
9,N9,Lower Edmonton,"£324,420","£16,221.00","324,420"
10,N10,Muswell Hill,"£750,770","£37,538.50","750,770"
11,N11,"Friern Barnet, New Southgate","£504,343","£25,217.15","504,343"
12,N12,"North Finchley, Woodside Park","£551,198","£27,559.90","551,198"
13,N13,Palmers Green,"£493,295","£24,664.75","493,295"
14,N14,Southgate,"£611,052","£30,552.60","611,052"
