,Postcode,Average price,Percentage of average London price,Postcode New,Postcode NEw
0,BR1 1,£376k,53%,BR1,BR1
1,BR1 2,£838k,117%,BR1,BR1
2,BR1 3,£510k,71%,BR1,BR1
3,BR1 4,£478k,67%,BR1,BR1
4,BR1 5,£433k,61%,BR1,BR1
5,BR2 0,£496k,69%,BR2,BR2
6,BR2 6,£901k,126%,BR2,BR2
7,BR2 7,£698k,98%,BR2,BR2
8,BR2 8,£567k,79%,BR2,BR2
9,BR2 9,£511k,72%,BR2,BR2
10,BR3 1,£561k,79%,BR3,BR3
11,BR3 3,£675k,95%,BR3,BR3
12,BR3 4,£504k,71%,BR3,BR3
13,BR3 5,£488k,68%,BR3,BR3
14,BR3 6,£766k,107%,BR3,BR3
15,BR4 0,£648k,91%,BR4,BR4
16,BR4 9,£652k,91%,BR4,BR4
17,BR5 1,£731k,102%,BR5,BR5
18,BR5 2,£422k,59%,BR5,BR5
19,BR5 3,£364k,51%,BR5,BR5
20,BR5 4,£421k,59%,BR5,BR5
21,BR6 0,£578k,81%,BR6,BR6
22,BR6 6,£610k,85%,BR6,BR6
23,BR6 7,£548k,77%,BR6,BR6
24,BR6 8,£1.1M,161%,BR6,BR6
25,BR6 9,£592k,83%,BR6,BR6
26,BR7 5,£839k,118%,BR7,BR7
27,BR7 6,£702k,98%,BR7,BR7
28,CR0 0,£387k,54%,CR0,CR0
29,CR0 1,£350k,49%,CR0,CR0
30,CR0 2,£313k,44%,CR0,CR0
31,CR0 3,£357k,50%,CR0,CR0
32,CR0 4,£387k,54%,CR0,CR0
33,CR0 5,£519k,73%,CR0,CR0
34,CR0 6,£375k,53%,CR0,CR0
35,CR0 7,£510k,71%,CR0,CR0
36,CR0 8,£515k,72%,CR0,CR0
37,CR0 9,£310k,43%,CR0,CR0
38,CR2 0,£622k,87%,CR2,CR2
39,CR2 6,£372k,52%,CR2,CR2
40,CR2 7,£425k,60%,CR2,CR2
41,CR2 8,£509k,71%,CR2,CR2
42,CR2 9,£602k,84%,CR2,CR2
43,CR4 1,£407k,57%,CR4,CR4
44,CR4 2,£462k,65%,CR4,CR4
45,CR4 3,£382k,53%,CR4,CR4
46,CR4 4,£371k,52%,CR4,CR4
47,CR5 1,£552k,77%,CR5,CR5
48,CR5 2,£549k,77%,CR5,CR5
49,CR7 6,£398k,56%,CR7,CR7
50,CR7 7,£379k,53%,CR7,CR7
51,CR7 8,£382k,53%,CR7,CR7
52,CR8 1,£641k,90%,CR8,CR8
53,CR8 2,£513k,72%,CR8,CR8
54,CR8 3,£891k,125%,CR8,CR8
55,CR8 4,£542k,76%,CR8,CR8
56,CR8 5,£620k,87%,CR8,CR8
57,DA1 4,£316k,44%,DA1,DA1
58,DA14 4,£473k,66%,DA14,DA14
59,DA14 5,£417k,58%,DA14,DA14
60,DA14 6,£356k,50%,DA14,DA14
61,DA15 7,£461k,65%,DA15,DA15
62,DA15 8,£472k,66%,DA15,DA15
63,DA15 9,£499k,70%,DA15,DA15
64,DA16 1,£433k,61%,DA16,DA16
65,DA16 2,£474k,66%,DA16,DA16
66,DA16 3,£382k,54%,DA16,DA16
67,DA17 5,£344k,48%,DA17,DA17
68,DA17 6,£341k,48%,DA17,DA17
69,DA18 4,£264k,37%,DA18,DA18
70,DA5 1,£522k,73%,DA5,DA5
71,DA5 2,£530k,74%,DA5,DA5
72,DA5 3,£551k,77%,DA5,DA5
73,DA6 7,£398k,56%,DA6,DA6
74,DA6 8,£464k,65%,DA6,DA6
75,DA7 4,£466k,65%,DA7,DA7
76,DA7 5,£500k,70%,DA7,DA7
77,DA7 6,£427k,60%,DA7,DA7
78,DA8 1,£354k,50%,DA8,DA8
79,DA8 2,£339k,47%,DA8,DA8
80,DA8 3,£363k,51%,DA8,DA8
81,E1 0,£510k,71%,E1,E1
82,E1 1,£603k,84%,E1,E1
83,E1 2,£573k,80%,E1,E1
84,E1 3,£453k,63%,E1,E1
85,E1 4,£485k,68%,E1,E1
86,E1 5,£508k,71%,E1,E1
87,E1 6,£875k,123%,E1,E1
88,E1 7,£596k,83%,E1,E1
89,E1 8,£540k,76%,E1,E1
90,E10 5,£505k,71%,E10,E10
91,E10 6,£514k,72%,E10,E10
92,E10 7,£458k,64%,E10,E10
93,E11 1,£514k,72%,E11,E11
94,E11 2,£757k,106%,E11,E11
95,E11 3,£603k,84%,E11,E11
96,E11 4,£559k,78%,E11,E11
97,E12 5,£556k,78%,E12,E12
98,E12 6,£401k,56%,E12,E12
99,E13 0,£388k,54%,E13,E13
100,E13 8,£362k,51%,E13,E13
101,E13 9,£415k,58%,E13,E13
102,E14 0,£551k,77%,E14,E14
103,E14 2,£402k,56%,E14,E14
104,E14 3,£525k,74%,E14,E14
105,E14 4,£793k,111%,E14,E14
106,E14 5,£615k,86%,E14,E14
107,E14 6,£395k,55%,E14,E14
108,E14 7,£438k,61%,E14,E14
109,E14 8,£604k,85%,E14,E14
110,E14 9,£761k,107%,E14,E14
111,E15 1,£553k,78%,E15,E15
112,E15 2,£436k,61%,E15,E15
113,E15 3,£444k,62%,E15,E15
114,E15 4,£478k,67%,E15,E15
115,E16 1,£398k,56%,E16,E16
116,E16 2,£482k,67%,E16,E16
117,E16 3,£375k,53%,E16,E16
118,E16 4,£372k,52%,E16,E16
119,E17 3,£491k,69%,E17,E17
120,E17 4,£569k,80%,E17,E17
121,E17 5,£523k,73%,E17,E17
122,E17 6,£538k,75%,E17,E17
123,E17 7,£508k,71%,E17,E17
124,E17 8,£540k,76%,E17,E17
125,E17 9,£600k,84%,E17,E17
126,E18 1,£582k,82%,E18,E18
127,E18 2,£586k,82%,E18,E18
128,E1W 1,£899k,126%,E1W,E1W
129,E1W 2,£1.0M,147%,E1W,E1W
130,E1W 3,£606k,85%,E1W,E1W
131,E2 0,£540k,76%,E2,E2
132,E2 6,£615k,86%,E2,E2
133,E2 7,£694k,97%,E2,E2
134,E2 8,£672k,94%,E2,E2
135,E2 9,£574k,80%,E2,E2
136,E20 1,£714k,100%,E20,E20
137,E3 2,£478k,67%,E3,E3
138,E3 3,£353k,49%,E3,E3
139,E3 4,£447k,63%,E3,E3
140,E3 5,£628k,88%,E3,E3
141,E4 6,£528k,74%,E4,E4
142,E4 7,£585k,82%,E4,E4
143,E4 8,£420k,59%,E4,E4
144,E4 9,£528k,74%,E4,E4
145,E5 0,£842k,118%,E5,E5
146,E5 8,£603k,84%,E5,E5
147,E5 9,£492k,69%,E5,E5
148,E6 1,£356k,50%,E6,E6
149,E6 2,£382k,54%,E6,E6
150,E6 3,£412k,58%,E6,E6
151,E6 5,£349k,49%,E6,E6
152,E6 6,£355k,50%,E6,E6
153,E6 7,£600k,84%,E6,E6
154,E7 0,£601k,84%,E7,E7
155,E7 8,£454k,64%,E7,E7
156,E7 9,£492k,69%,E7,E7
157,E8 1,£690k,97%,E8,E8
158,E8 2,£622k,87%,E8,E8
159,E8 3,£1.0M,143%,E8,E8
160,E8 4,£719k,101%,E8,E8
161,E9 5,£522k,73%,E9,E9
162,E9 6,£525k,74%,E9,E9
163,E9 7,£830k,116%,E9,E9
164,EC1A 7,£1.1M,160%,EC1A,EC1A
165,EC1A 9,£671k,94%,EC1A,EC1A
166,EC1M 3,£615k,86%,EC1M,EC1M
167,EC1M 4,£629k,88%,EC1M,EC1M
168,EC1M 5,£1.4M,201%,EC1M,EC1M
169,EC1M 6,£420k,59%,EC1M,EC1M
170,EC1M 7,£540k,76%,EC1M,EC1M
171,EC1N 7,£494k,69%,EC1N,EC1N
172,EC1N 8,£1.4M,196%,EC1N,EC1N
173,EC1R 0,£888k,124%,EC1R,EC1R
174,EC1R 1,£1.1M,148%,EC1R,EC1R
175,EC1R 3,£1.2M,164%,EC1R,EC1R
176,EC1R 4,£768k,108%,EC1R,EC1R
177,EC1R 5,£370k,52%,EC1R,EC1R
178,EC1V 0,£904k,127%,EC1V,EC1V
179,EC1V 1,£949k,133%,EC1V,EC1V
180,EC1V 2,£739k,104%,EC1V,EC1V
181,EC1V 3,£749k,105%,EC1V,EC1V
182,EC1V 4,£1.0M,144%,EC1V,EC1V
183,EC1V 7,£743k,104%,EC1V,EC1V
184,EC1V 8,£963k,135%,EC1V,EC1V
185,EC1V 9,£629k,88%,EC1V,EC1V
186,EC1Y 0,£968k,136%,EC1Y,EC1Y
187,EC1Y 2,£1.0M,145%,EC1Y,EC1Y
188,EC1Y 8,£734k,103%,EC1Y,EC1Y
189,EC2A 2,£1.4M,193%,EC2A,EC2A
190,EC2A 3,£896k,125%,EC2A,EC2A
191,EC2A 4,£810k,114%,EC2A,EC2A
192,EC2M 4,£1.2M,172%,EC2M,EC2M
193,EC2Y 5,£807k,113%,EC2Y,EC2Y
194,EC2Y 8,£859k,120%,EC2Y,EC2Y
195,EC2Y 9,£740k,104%,EC2Y,EC2Y
196,EC3M 1,£1.2M,172%,EC3M,EC3M
197,EC3N 2,£603k,85%,EC3N,EC3N
198,EC3R 6,£2.8M,398%,EC3R,EC3R
199,EC4A 1,£876k,123%,EC4A,EC4A
200,EC4A 3,£500k,70%,EC4A,EC4A
201,EC4A 4,£37.5M,5254%,EC4A,EC4A
202,EC4M 7,£724k,101%,EC4M,EC4M
203,EC4R 0,£775k,109%,EC4R,EC4R
204,EC4V 3,£815k,114%,EC4V,EC4V
205,EC4Y 0,£796k,112%,EC4Y,EC4Y
206,EN1 1,£447k,63%,EN1,EN1
207,EN1 2,£589k,82%,EN1,EN1
208,EN1 3,£504k,71%,EN1,EN1
209,EN1 4,£344k,48%,EN1,EN1
210,EN2 0,£449k,63%,EN2,EN2
211,EN2 6,£532k,74%,EN2,EN2
212,EN2 7,£541k,76%,EN2,EN2
213,EN2 8,£502k,70%,EN2,EN2
214,EN2 9,£606k,85%,EN2,EN2
215,EN3 4,£347k,49%,EN3,EN3
216,EN3 5,£387k,54%,EN3,EN3
217,EN3 6,£361k,51%,EN3,EN3
218,EN3 7,£369k,52%,EN3,EN3
219,EN4 0,£1.7M,240%,EN4,EN4
220,EN4 8,£542k,76%,EN4,EN4
221,EN4 9,£609k,85%,EN4,EN4
222,EN5 1,£648k,91%,EN5,EN5
223,EN5 2,£594k,83%,EN5,EN5
224,EN5 3,£1.0M,147%,EN5,EN5
225,EN5 5,£654k,92%,EN5,EN5
226,HA0 1,£397k,56%,HA0,HA0
227,HA0 2,£443k,62%,HA0,HA0
228,HA0 3,£498k,70%,HA0,HA0
229,HA0 4,£555k,78%,HA0,HA0
230,HA1 1,£477k,67%,HA1,HA1
231,HA1 2,£415k,58%,HA1,HA1
