,Address,Description,Price,Postcode,Full_Postcode,number_bedrooms
0,"Mitre Street, Aldgate, EC3A",2 bedroom flat for sale,1250000,EC3A,,2
1,Ben Jonson House Barbican EC2,1 bedroom apartment for sale,545000,EC2,,1
2,"Moor Lane, The Heron",1 bedroom flat for sale,825000,,,1
3,"Seddon House, Barbican, London, EC2Y",1 bedroom apartment for sale,995000,EC2Y,,1
4,"Seddon House, Barbican, London, EC2Y",Studio apartment for sale,475000,EC2Y,,0
5,Shakespeare Tower Barbican EC2,3 bedroom apartment for sale,1640000,EC2,,3
6,"Pepys Street, City Of London, EC3N",1 bedroom apartment for sale,599999,EC3N,,1
7,"133-137 Fetter Lane, London, EC4A",2 bedroom apartment for sale,1375000,EC4A,,2
8,"Bartholomew Close, London, EC1A",1 bedroom apartment for sale,810000,EC1A,,1
9,"10, Hosier Lane, London EC1A 9LS",1 bedroom flat for sale,550000,EC1A,EC1A 9LS,1
10,"Water Lane, City, London, EC3R",3 bedroom flat for sale,4750000,EC3R,,3
11,"Fleet Street, City, London, EC4Y",1 bedroom flat for sale,540000,EC4Y,,1
12,"Flat 2B, 18-19 Fleet Street, London, EC4Y 1AA",1 bedroom flat for sale,540000,EC4Y,EC4Y 1AA,1
13,"Barbican, Willoughby House",2 bedroom flat for sale,975000,,,2
14,"The Denizen, Golden Lane, Barbican, City of London, London, EC1Y",1 bedroom apartment for sale,740000,EC1Y,,1
15,"The Denizen, Golden Lane, Barbican, City of London, London, EC1Y",1 bedroom apartment for sale,695000,EC1Y,,1
16,"Moor Lane, Moorgate",1 bedroom flat for sale,700000,,,1
17,"Willoughby House, Barbican",1 bedroom flat for sale,725000,,,1
18,"Middlesex Street, London, E1",1 bedroom apartment for sale,1500000,E1,,1
19,"St. Andrew's Hill, London, EC4V",2 bedroom penthouse for sale,1250000,EC4V,,2
20,"Golden Lane Estate, London, London, EC1Y 0SL",1 bedroom flat for sale,300000,EC1Y,EC1Y 0SL,1
21,"The Westin, London City EC4V",3 bedroom apartment for sale,4605000,EC4V,,3
22,"John Trundle Court, Barbican",Studio flat for sale,525000,,,0
23,"Gilbert House, Barbican",1 bedroom apartment for sale,1050000,,,1
24,"The Strand, WC2R, The Strand, London, WC2R",Studio flat for sale,1100000,WC2R,,0
