Period,Average price All property types,Average price Detached houses,Average price Semi-detached houses,Average price Terraced houses,Average price Flats and maisonettes,Pivotable date
1999-10,123002,261720,154879,119887,109870,01/10/1999
1999-11,125792,267166,158051,123329,111981,01/11/1999
1999-12,127918,265355,159147,124726,115071,01/12/1999
2000-01,130411,280980,165413,127833,115506,01/01/2000
2000-02,132705,279796,165391,129708,118641,01/02/2000
2000-03,134286,284608,168433,131957,119340,01/03/2000
2000-04,140670,293946,174235,136659,126608,01/04/2000
2000-05,140862,297670,176792,137401,125794,01/05/2000
2000-06,143542,298774,179057,139575,128870,01/06/2000
2000-07,146228,313017,183384,142702,130434,01/07/2000
2000-08,147284,311885,184296,142302,132453,01/08/2000
2000-09,147316,314775,183347,142656,132409,01/09/2000
2000-10,145626,314817,184698,141042,129962,01/10/2000
2000-11,147666,314211,182742,141687,133810,01/11/2000
2000-12,147483,307562,182542,141993,133575,01/12/2000
2001-01,149543,313677,185344,144786,134820,01/01/2001
2001-02,149776,316859,187191,145438,134244,01/02/2001
2001-03,150941,312590,186613,146149,136351,01/03/2001
2001-04,152865,317568,187982,148477,137996,01/04/2001
2001-05,157156,320126,192150,152402,142572,01/05/2001
2001-06,158760,321946,193754,152838,144946,01/06/2001
2001-07,161122,337102,199554,156018,145315,01/07/2001
2001-08,164628,340860,201833,159357,149188,01/08/2001
2001-09,164820,344116,202792,159498,149093,01/09/2001
2001-10,166189,348354,205977,161134,149680,01/10/2001
2001-11,167214,346501,206766,161179,151527,01/11/2001
2001-12,167693,340664,205384,160381,153617,01/12/2001
2002-01,169841,352528,210722,163445,153883,01/01/2002
2002-02,170502,347520,209278,164721,154884,01/02/2002
2002-03,172749,351801,211962,166555,157187,01/03/2002
2002-04,178218,359916,217092,170602,163549,01/04/2002
2002-05,182805,367527,223779,175772,166997,01/05/2002
2002-06,186038,369726,224529,178283,171396,01/06/2002
2002-07,191162,389899,233908,184737,173793,01/07/2002
2002-08,195333,394662,239197,189142,177432,01/08/2002
2002-09,197045,399194,242636,190416,178855,01/09/2002
2002-10,199092,404694,246998,192683,179988,01/10/2002
2002-11,202527,412507,248842,195211,184228,01/11/2002
2002-12,203437,407963,252359,196414,184471,01/12/2002
2003-01,207162,419137,254641,202041,186926,01/01/2003
2003-02,206464,414982,256602,200114,186523,01/02/2003
2003-03,205573,415288,255085,199740,185407,01/03/2003
2003-04,207953,415921,258067,201120,188347,01/04/2003
2003-05,210583,418968,261553,205740,189359,01/05/2003
2003-06,208941,417655,259215,202891,188717,01/06/2003
2003-07,213806,426441,266051,208794,192154,01/07/2003
2003-08,212692,423770,264469,208159,190918,01/08/2003
2003-09,212901,428779,266092,208553,190449,01/09/2003
2003-10,214608,427660,267387,210387,192263,01/10/2003
2003-11,215556,425184,267314,211536,193463,01/11/2003
2003-12,216971,420852,267879,211690,196159,01/12/2003
2004-01,218855,434342,271332,214541,196490,01/01/2004
2004-02,219804,434984,273084,216428,196693,01/02/2004
2004-03,221324,432135,271383,217492,199326,01/03/2004
2004-04,225863,435578,278620,223420,202365,01/04/2004
2004-05,227330,430197,279298,224193,204628,01/05/2004
2004-06,230156,438283,281838,225947,207895,01/06/2004
2004-07,233877,447529,288388,231683,209501,01/07/2004
2004-08,234836,452951,288655,232422,210563,01/08/2004
2004-09,234134,451595,288161,231902,209748,01/09/2004
2004-10,232287,448530,286511,230059,207943,01/10/2004
2004-11,234718,449256,287896,231718,211065,01/11/2004
2004-12,230185,441332,282435,227556,206756,01/12/2004
2005-01,232422,448212,284417,230578,208376,01/01/2005
2005-02,231321,442730,283523,229239,207548,01/02/2005
2005-03,231263,440100,282278,229777,207511,01/03/2005
2005-04,235367,443176,286920,234290,211199,01/04/2005
2005-05,235685,447963,288344,233940,211479,01/05/2005
2005-06,235899,443028,287519,235917,211100,01/06/2005
2005-07,237872,449202,290947,237279,212892,01/07/2005
2005-08,237971,449857,288600,237217,213620,01/08/2005
2005-09,236916,451638,290297,237361,211176,01/09/2005
2005-10,234298,442924,286183,234167,209507,01/10/2005
2005-11,236561,445427,288242,236536,211694,01/11/2005
2005-12,238377,438936,285358,237127,215567,01/12/2005
2006-01,239846,454025,291590,240015,214584,01/01/2006
2006-02,239115,448642,289915,238395,214773,01/02/2006
2006-03,241380,454096,292056,241348,216507,01/03/2006
2006-04,245474,455431,296200,245745,220453,01/04/2006
2006-05,247591,460366,297797,247011,223018,01/05/2006
2006-06,251417,465913,301279,251705,226295,01/06/2006
2006-07,253883,473171,306203,255910,226972,01/07/2006
2006-08,256704,478540,308896,257927,230115,01/08/2006
2006-09,257541,483177,310130,257836,231214,01/09/2006
2006-10,259115,483203,311206,259231,233036,01/10/2006
2006-11,258814,484883,312651,260129,231582,01/11/2006
2006-12,264494,491261,316458,264717,238180,01/12/2006
2007-01,267658,496475,319628,268351,240937,01/01/2007
2007-02,270780,501729,322708,269149,245120,01/02/2007
2007-03,273479,506544,325473,274191,246442,01/03/2007
2007-04,278805,512600,330825,280670,251019,01/04/2007
2007-05,282726,515304,334101,282458,256149,01/05/2007
2007-06,285958,524980,337493,285874,258918,01/06/2007
2007-07,295694,547759,350983,296015,266890,01/07/2007
2007-08,297653,546248,350162,298971,269035,01/08/2007
2007-09,298414,552891,351709,297548,270506,01/09/2007
2007-10,298559,555873,351538,297591,270658,01/10/2007
2007-11,297648,560486,354894,296952,268479,01/11/2007
2007-12,297994,551709,352333,296305,270329,01/12/2007
2008-01,298596,562436,354015,298254,269578,01/01/2008
2008-02,295700,552961,351217,294639,267322,01/02/2008
2008-03,293605,547952,349568,294811,264226,01/03/2008
2008-04,294346,557690,349515,294697,265191,01/04/2008
2008-05,295163,550050,350758,295286,266306,01/05/2008
2008-06,290100,542550,344894,291896,260848,01/06/2008
2008-07,290261,546197,343508,288804,262734,01/07/2008
2008-08,281721,532326,335791,281308,253968,01/08/2008
2008-09,276487,524235,326819,274565,250460,01/09/2008
2008-10,266999,506702,316158,262929,242805,01/10/2008
2008-11,258647,493046,308780,257811,233135,01/11/2008
2008-12,253881,480437,303686,253948,228422,01/12/2008
2009-01,253093,484980,300817,250089,229353,01/01/2009
2009-02,249847,465160,296380,247380,226949,01/02/2009
2009-03,247264,460766,291834,244007,225466,01/03/2009
2009-04,245351,456683,291883,243875,222092,01/04/2009
2009-05,249991,462317,295985,248103,227052,01/05/2009
2009-06,253596,468537,299623,254191,229061,01/06/2009
2009-07,259793,484437,310207,261258,233071,01/07/2009
2009-08,262076,491850,314236,263938,234400,01/08/2009
2009-09,267501,497220,316791,267705,241515,01/09/2009
2009-10,268780,504815,321628,270498,240658,01/10/2009
2009-11,266837,501064,318077,270130,238347,01/11/2009
2009-12,270118,502617,323927,273328,241063,01/12/2009
2010-01,279724,525410,335145,283569,249180,01/01/2010
2010-02,278753,524431,335551,282885,247719,01/02/2010
2010-03,280472,532768,335940,281836,250903,01/03/2010
2010-04,281981,530526,337788,284471,251899,01/04/2010
2010-05,281762,532230,337877,285520,250835,01/05/2010
2010-06,284541,536235,340019,288347,253666,01/06/2010
2010-07,292772,560177,351466,298269,259349,01/07/2010
2010-08,290646,552684,352306,295010,257356,01/08/2010
2010-09,290093,559284,350133,294941,256612,01/09/2010
2010-10,286131,548402,345578,289873,253754,01/10/2010
2010-11,282290,545732,343402,284672,250196,01/11/2010
2010-12,285353,545247,344640,287916,253763,01/12/2010
2011-01,287983,561353,347089,291581,255214,01/01/2011
2011-02,285227,556285,343860,286549,253953,01/02/2011
2011-03,287092,559907,342214,287434,257165,01/03/2011
2011-04,293993,556813,346657,295121,264752,01/04/2011
2011-05,284722,539789,342357,286936,254026,01/05/2011
2011-06,285906,534579,340812,287950,256336,01/06/2011
2011-07,295843,555115,350495,298117,265623,01/07/2011
2011-08,294903,558789,354046,299996,261746,01/08/2011
2011-09,295358,566622,353417,299513,262610,01/09/2011
2011-10,292267,565503,354002,294911,259320,01/10/2011
2011-11,291036,559120,348955,291888,260317,01/11/2011
2011-12,292284,553602,350948,294428,261000,01/12/2011
2012-01,294360,554780,352985,297924,262346,01/01/2012
2012-02,292381,569459,354995,297507,257937,01/02/2012
2012-03,290379,544127,345599,294550,259216,01/03/2012
2012-04,299065,561806,354724,301792,267993,01/04/2012
2012-05,304081,570424,361779,308408,271470,01/05/2012
2012-06,306823,567821,361738,312798,274239,01/06/2012
2012-07,308962,580113,366704,315144,275099,01/07/2012
2012-08,310043,582142,368878,316895,275527,01/08/2012
2012-09,308469,579776,365664,314230,274948,01/09/2012
2012-10,310281,580841,367792,314956,277248,01/10/2012
2012-11,308540,579766,366472,313951,275027,01/11/2012
2012-12,313744,584430,368743,319691,280600,01/12/2012
2013-01,311364,585417,371472,316619,277251,01/01/2013
2013-02,313550,584924,369428,318273,280689,01/02/2013
2013-03,312289,587252,369862,317191,278831,01/03/2013
2013-04,320921,592752,374400,325254,288624,01/04/2013
2013-05,322324,600796,379979,327099,288559,01/05/2013
2013-06,324518,600375,380448,330385,290694,01/06/2013
2013-07,332988,612056,388303,339351,298764,01/07/2013
2013-08,335743,621017,394860,343054,299890,01/08/2013
2013-09,340494,627915,394236,346089,306464,01/09/2013
2013-10,340045,629328,398386,343921,305736,01/10/2013
2013-11,343749,631279,401464,348311,309270,01/11/2013
2013-12,352028,632546,405661,355889,319009,01/12/2013
2014-01,355830,651986,413770,360184,320787,01/01/2014
2014-02,357876,657774,415632,361192,323086,01/02/2014
2014-03,361400,656427,417649,365214,326778,01/03/2014
2014-04,375337,688122,435644,381773,337738,01/04/2014
2014-05,382705,692487,441186,388249,345723,01/05/2014
2014-06,387182,699099,446329,393924,349362,01/06/2014
2014-07,398737,728491,465103,407975,357492,01/07/2014
2014-08,404754,739313,471552,414689,362768,01/08/2014
2014-09,403670,738828,468585,411840,362757,01/09/2014
2014-10,402300,741040,470849,410173,360746,01/10/2014
2014-11,400803,743115,472027,409211,358450,01/11/2014
2014-12,402898,739606,469349,409482,362322,01/12/2014
2015-01,402847,743471,471904,408951,361840,01/01/2015
2015-02,404773,748417,473702,410966,363574,01/02/2015
2015-03,404706,746670,474072,410639,363615,01/03/2015
2015-04,410445,759614,480438,419154,367469,01/04/2015
2015-05,415817,758190,485444,422193,374213,01/05/2015
2015-06,419474,772089,493081,431687,373769,01/06/2015
2015-07,431644,787783,506181,443661,385416,01/07/2015
2015-08,436152,805864,514997,448942,387978,01/08/2015
2015-09,439729,820565,517030,450734,392127,01/09/2015
2015-10,440484,824799,525228,455397,389400,01/10/2015
2015-11,445485,828661,528318,458454,395612,01/11/2015
2015-12,450053,844884,536465,462912,398893,01/12/2015
2016-01,457466,846956,546758,470317,405793,01/01/2016
2016-02,457759,863896,550400,472651,403745,01/02/2016
2016-03,464647,873391,549954,477329,412842,01/03/2016
2016-04,461068,859832,551600,477313,407094,01/04/2016
2016-05,467485,864839,557920,481745,414351,01/05/2016
2016-06,468120,885121,560281,483455,413275,01/06/2016
2016-07,475530,893103,572688,493363,418347,01/07/2016
2016-08,471957,889075,568552,488355,415648,01/08/2016
2016-09,471767,883706,565376,486660,416967,01/09/2016
2016-10,471008,883336,565977,482452,417532,01/10/2016
2016-11,470854,886553,562093,480836,418660,01/11/2016
2016-12,472374,887005,562272,483479,419937,01/12/2016
2017-01,475619,893279,568911,487710,421834,01/01/2017
2017-02,476717,887959,563242,482631,427256,01/02/2017
2017-03,475442,893859,566834,485460,422917,01/03/2017
2017-04,479790,899133,567701,488136,428541,01/04/2017
2017-05,480902,890430,571569,487874,430111,01/05/2017
2017-06,480152,890539,569116,490877,428001,01/06/2017
2017-07,488527,903023,582307,499705,434837,01/07/2017
2017-08,487085,904655,579880,501173,432209,01/08/2017
2017-09,483833,913220,578519,496318,428892,01/09/2017
2017-10,481762,908782,580410,494013,426315,01/10/2017
2017-11,476290,892900,573421,488341,421807,01/11/2017
2017-12,476848,899100,573194,489692,421917,01/12/2017
2018-01,479772,895602,576870,490615,425766,01/01/2018
2018-02,477860,898057,574508,489511,423537,01/02/2018
2018-03,472357,890041,572169,487242,416546,01/03/2018
2018-04,477253,898928,579191,493274,420315,01/04/2018
2018-05,478485,903088,581868,497350,420076,01/05/2018
2018-06,479931,909153,587607,497145,421188,01/06/2018
2018-07,484724,929011,591665,504801,424322,01/07/2018
2018-08,479550,912509,583664,498383,420693,01/08/2018
2018-09,476545,912657,583686,496528,416752,01/09/2018
2018-10,480057,919012,586432,498816,420614,01/10/2018
2018-11,474347,913641,580831,494653,414526,01/11/2018
2018-12,473252,899415,579876,490483,415052,01/12/2018
2019-01,470067,909861,578054,488264,410934,01/01/2019
2019-02,466068,897130,571003,484811,407751,01/02/2019
2019-03,464162,879600,566491,483203,406906,01/03/2019
2019-04,469537,886952,570672,489897,411728,01/04/2019
2019-05,463628,877723,567219,486645,404483,01/05/2019
2019-06,470519,892527,579285,491488,410734,01/06/2019
2019-07,478505,900158,581341,499058,419875,01/07/2019
2019-08,472729,902797,580661,500513,409829,01/08/2019
2019-09,477146,901921,578597,498570,418324,01/09/2019
2019-10,472668,901258,584448,495293,411266,01/10/2019
2019-11,468757,904492,580116,495186,405653,01/11/2019
2019-12,479153,908784,584771,502617,418382,01/12/2019
2020-01,475948,892166,580151,498319,416550,01/01/2020
2020-02,474480,913264,584538,501384,411015,01/02/2020
2020-03,482605,917831,591621,505497,421036,01/03/2020
2020-04,476159,921807,585408,502673,412702,01/04/2020
2020-05,473225,907980,582060,497618,411283,01/05/2020
2020-06,479969,906997,593008,510449,414734,01/06/2020
