Year,Yield
1972-03,1.925842105
1972-04,1.835223242
1972-05,1.851073171
1972-06,2.170778116
1972-07,1.853778116
1972-08,0.941924012
1972-09,2.859433234
1972-10,2.574988166
1972-11,1.940880597
1972-12,1.045358209
1973-01,0.149835821
1973-02,-0.107925816
1973-03,-1.812411765
1973-04,-2.585325581
1973-05,-3.758637681
1973-06,-4.048492754
1973-07,-4.918057971
1973-08,-4.653609195
1973-09,-7.157714286
1973-10,-6.902545455
1973-11,-8.082615385
1973-12,-10.77709605
1974-01,-14.10885154
1974-02,-16.98
1974-03,-14.74422764
1974-04,-15.38425532
1974-05,-13.9695288
1974-06,-14.43430809
1974-07,-15.81419689
1974-08,-16.14452442
1974-09,-14.48
1974-10,-16.21286567
1974-11,-16.27735802
1974-12,-12.63863158
1975-01,-9.017192661
1975-02,-5.586
1975-03,-5.71403532
1975-04,-4.948068966
1975-05,-5.105313305
1975-06,-4.379176972
1975-07,-2.673866109
1975-08,-1.203809524
1975-09,-2.088163265
1975-10,-1.260838323
1975-11,-0.089831683
1975-12,0.124233202
1976-01,-0.5620625
1976-02,-1.129725146
1976-03,-0.670485493
1976-04,-1.278703422
1976-05,-1.035759924
1976-06,-1.224795841
1976-07,-1.565843691
1976-08,-1.224795841
1976-09,-1.569672828
1976-10,-0.516169399
1976-11,-0.913767824
1976-12,-2.19347532
1977-01,-1.10872711
1977-02,-1.04216221
1977-03,-1.186854352
1977-04,-0.453555556
1977-05,-1.855560554
1977-06,-1.321290155
1977-07,-0.432696398
1977-08,-1.651578584
1977-09,-0.591757576
1977-10,-1.02219263
1977-11,0.150336683
1977-12,1.550549669
1978-01,2.085298851
1978-02,2.115300163
1978-03,1.81287013
1978-04,1.866900958
1978-05,2.224303797
1978-06,2.37047619
1978-07,1.721401274
1978-08,1.569507154
1978-09,2.11114241
1978-10,2.603017107
1978-11,2.406415094
1978-12,2.400472441
1979-01,2.569324961
1979-02,3.527893916
1979-03,3.795622291
1979-04,4.376352221
1979-05,4.089652968
1979-06,2.877370031
1979-07,2.279268293
1979-08,4.748486322
1979-09,3.897729323
1979-10,2.851645646
1979-11,2.357515152
1979-12,1.528687405
1980-01,1.999848485
1980-02,1.572240122
1980-03,2.593481928
1980-04,1.903285714
1980-05,0.43539823
1980-06,0.00257732
1980-07,1.024744526
1980-08,0.391412979
1980-09,0.152935953
1980-10,0.805100719
1980-11,0.69400578
1980-12,1.686398852
1981-01,0.834129445
1981-02,1.80203244
1981-03,1.81914446
1981-04,2.940322314
1981-05,3.026355191
1981-06,3.237095238
1981-07,4.162173913
1981-08,4.626566757
1981-09,4.689552279
1981-10,4.886614973
1981-11,4.278170895
